ED,WARD,APGRECNO,PEAST,PNORTH,UPDDATE,Geometry,EAST,NORTH,LENGTH,AREA,MINEAST,MINNORTH,MAXEAST,MAXNORTH
DB,Baxenden,17,377370814,426406366,24/09/2013,"POLYGON((376386.987 426832.898, 376547.281 426956.149, 376632.143 427018.112, 376644.266 427041.011, 376684.677 427063.91, 376711.617 427107.015, 376859.788 427039.664, 376885.382 427036.97, 377018.736 427011.377, 377048.37 426995.213, 377088.107 426988.478, 377096.189 426988.478, 377113.7 427003.295, 377220.114 427049.093, 377244.361 427084.115, 377265.913 427093.545, 377265.913 427131.261, 377247.055 427166.283, 377278.036 427186.488, 377226.85 427243.063, 377202.603 427292.903, 377213.379 427294.25, 377217.42 427323.884, 377201.256 427372.376, 377182.398 427442.421, 377198.562 427472.055, 377207.991 427515.16, 377286.118 427602.716, 377299.588 427590.592, 377302.282 427563.652, 377304.976 427543.447, 377314.405 427525.936, 377385.797 427515.16, 377416.778 427505.731, 377427.554 427492.261, 377436.984 427498.996, 377497.599 427505.731, 377593.237 427515.16, 377618.83 427519.201, 377629.606 427517.854, 377671.364 427489.566, 377711.774 427481.484, 377753.532 427486.872, 377773.737 427490.913, 377785.86 427484.178, 377814.147 427486.872, 377839.741 427490.913, 377884.192 427500.343, 377916.52 427501.69, 377948.849 427516.507, 377969.054 427515.16, 377993.3 427528.63, 378029.669 427528.63, 378041.793 427540.753, 378060.651 427550.182, 378076.815 427563.652, 378095 427574.428, 378121.94 427555.57, 378155.615 427564.999, 378166.391 427559.611, 378194.679 427563.652, 378221.619 427540.753, 378233.742 427543.447, 378288.969 427515.16, 378330.727 427508.425, 378369.79 427485.525, 378376.525 427469.361, 378385.954 427463.973, 378402.119 427461.279, 378458.693 427400.664, 378495.062 427407.399, 378528.738 427408.746, 378574.536 427424.91, 378613.6 427415.481, 378655.357 427414.134, 378662.092 427422.216, 378656.704 427432.992, 378666.133 427453.197, 378690.379 427430.298, 378695.767 427418.175, 378691.726 427388.54, 378691.726 427353.518, 378694.42 427290.209, 378706.544 427202.653, 378714.626 427113.077, 378717.32 427064.584, 378726.749 427025.521, 378733.484 426942.006, 378736.178 426890.819, 378721.361 426865.226, 378579.924 426871.961, 378530.085 426766.894, 378531.432 426718.402, 378512.574 426718.402, 378477.551 426595.15, 378597.435 426577.639, 378605.518 426490.083, 378503.145 426472.572, 378385.954 426293.42, 378364.402 426263.785, 378356.32 426248.968, 378346.891 426247.621, 378251.253 426283.99, 378209.496 426156.024, 378109.143 426120.329, 378086.244 426112.247, 378083.55 426116.288, 377946.828 426050.284, 378026.302 425929.053, 377933.358 425869.784, 377882.171 425823.986, 377793.269 425980.239, 377770.369 425950.605, 377769.022 425930.4, 377760.94 425904.807, 377731.306 425842.844, 377727.265 425841.497, 377711.101 425805.128, 377693.59 425737.777, 377653.179 425701.408, 377619.504 425654.262, 377595.258 425648.874, 377587.176 425634.057, 377553.5 425631.363, 377550.806 425619.914, 377545.418 425610.485, 377522.519 425603.75, 377503.661 425603.75, 377490.191 425579.503, 377478.067 425560.645, 377483.456 425532.358, 377486.15 425521.582, 377490.191 425506.765, 377494.232 425491.947, 377509.049 425479.824, 377511.743 425459.619, 377506.355 425451.537, 377505.008 425443.455, 377507.702 425431.332, 377509.049 425419.209, 377509.049 425407.086, 377511.743 425376.104, 377502.314 425343.776, 377498.273 425319.53, 377488.844 425284.507, 377461.903 425233.321, 377443.045 425211.769, 377433.616 425218.504, 377387.818 425167.317, 377371.653 425164.623, 377332.59 425174.052, 377274.668 425170.011, 377235.605 425175.399, 377199.236 425187.522, 377168.254 425180.787, 377102.251 425179.44, 377007.96 425172.705, 376997.184 425120.172, 376991.796 425106.702, 376812.643 425149.806, 376773.58 425147.112, 376651.675 425141.05, 376655.716 425185.502, 376492.727 425328.285, 376465.787 425430.658, 376336.474 425510.132, 376275.858 425566.706, 376263.735 425554.583, 376112.87 425687.937, 376108.829 425687.937, 375979.515 425801.087, 376133.748 425978.218, 376199.752 426046.916, 376178.2 426118.308, 376179.547 426155.35, 376155.3 426195.761, 376131.054 426246.947, 376168.771 426276.581, 376214.569 426261.764, 376246.897 426253.682, 376312.901 426253.682, 376346.576 426263.111, 376373.517 426281.969, 376368.129 426314.298, 376347.923 426366.831, 376322.33 426428.794, 376291.349 426459.775, 376291.349 426498.839, 376413.927 426562.148, 376473.196 426614.682, 376508.218 426606.6, 376537.852 426622.764, 376558.057 426616.029, 376575.569 426614.682, 376599.815 426601.212, 376614.632 426601.212, 376638.878 426599.865, 376668.513 426628.152, 376593.08 426673.95, 376457.031 426766.894, 376386.987 426832.898))",377370.814,426406.365,10571.285,3946246.158,375979.515,425106.701,378736.178,427602.716
EA,Central,9,375382528,428665312,24/09/2013,"POLYGON((375919.661 428827.797, 375912.083 428811.559, 375893.679 428780.165, 375888.267 428772.587, 375849.836 428738.758, 375841.176 428640.246, 375853.084 428632.668, 375838.469 428593.155, 375823.314 428542.546, 375735.627 428569.609, 375731.838 428570.151, 375686.371 428551.747, 375551.052 428523.06, 375426.018 428492.207, 375101.523 428410.474, 375011.401 428386.658, 375007.071 428402.897, 375000.034 428449.446, 374995.162 428494.913, 374991.374 428538.215, 374989.75 428597.756, 374978.924 428817.243, 375083.932 428822.655, 375082.308 428898.434, 375126.692 428892.48, 375162.958 428888.691, 375234.947 428867.581, 375319.116 428842.141, 375363.5 428834.563, 375439.279 428831.857, 375575.139 428831.857, 375694.761 428829.692, 375759.984 428835.105, 375831.433 428827.527, 375849.295 428852.426, 375858.497 428861.627, 375874.735 428867.04, 375887.184 428869.746, 375904.505 428862.168, 375918.037 428851.884, 375919.661 428827.797))",375382.527,428665.312,2667.132,311444.199,374978.923,428386.657,375919.661,428898.434
EB,Central,11,375538288,428138412,24/09/2013,"POLYGON((375811.406 428326.306, 375796.52 428309.527, 375766.209 428269.202, 375708.563 428191.8, 375608.969 428059.458, 375535.896 427966.359, 375449.834 427855.938, 375388.67 427781.243, 375356.734 427892.474, 375346.991 427926.575, 375319.928 427991.528, 375298.277 428038.077, 375354.569 428097.347, 375473.109 428225.088, 375642.528 428448.093, 375811.406 428326.306))",375538.288,428138.412,1707.084,130712.377,375298.277,427781.243,375811.406,428448.092
EC,Central,10,375261968,428321835,24/09/2013,"POLYGON((375823.043 428543.087, 375814.924 428506.822, 375822.502 428336.32, 375813.3 428324.412, 375642.257 428447.823, 375472.838 428225.359, 375298.547 428038.348, 375293.676 428048.091, 375282.85 428109.796, 375171.889 428165.548, 375096.381 428203.978, 374983.255 428175.832, 374933.999 428095.182, 374780.818 428188.823, 374725.337 428175.832, 374718.842 428274.885, 374683.659 428284.087, 374683.659 428331.719, 374750.777 428338.215, 374811.941 428346.334, 374898.004 428360.407, 374933.187 428370.15, 375010.589 428391.26, 375012.483 428386.117, 375289.075 428458.107, 375454.164 428500.326, 375562.69 428525.225, 375614.111 428537.674, 375679.064 428549.582, 375732.65 428570.151, 375823.043 428543.087))",375261.967,428321.835,3059.177,259582.659,374683.658,428038.347,375823.043,428570.151
ED,Central,8,375606393,428973207,24/09/2013,"POLYGON((375919.119 428828.068, 375917.496 428851.613, 375899.633 428864.604, 375886.643 428869.475, 375876.9 428868.393, 375862.285 428862.98, 375852.001 428855.402, 375840.093 428841.329, 375830.35 428827.797, 375788.943 428831.586, 375758.09 428835.375, 375686.1 428829.962, 375518.846 428831.586, 375358.629 428834.834, 375310.455 428844.036, 375232.512 428867.852, 375246.044 428921.438, 375235.218 428983.414, 375287.181 428978.542, 375281.226 429085.173, 375279.603 429176.108, 375385.151 429182.062, 375394.894 429109.802, 375424.123 429112.508, 375441.715 429120.627, 375557.547 429136.865, 375569.456 429072.454, 375876.9 429121.71, 375997.604 428958.515, 376041.447 428900.057, 375980.283 428840.517, 375967.292 428835.646, 375947.806 428832.398, 375933.733 428832.398, 375919.119 428828.068))",375606.392,428973.206,2249.417,200034.396,375232.511,428827.797,376041.446,429182.061
FA,Spring Hill,50,374797580,428004554,24/09/2013,"POLYGON((374637.279 427626.102, 374628.184 427661.412, 374661.888 427671.042, 374638.349 427732.566, 374621.764 427823.514, 374597.154 427879.688, 374580.57 427918.207, 374554.355 427979.999, 374529.745 427997.653, 374554.355 428080.577, 374580.57 428106.257, 374574.685 428161.093, 374568.8 428223.687, 374565.055 428272.371, 374560.775 428313.565, 374562.38 428319.183, 374684.358 428329.347, 374682.753 428283.338, 374719.132 428274.778, 374726.087 428175.27, 374780.656 428188.645, 374852.345 428145.311, 374934.734 428094.754, 374984.488 428176.608, 375096.033 428203.357, 375154.347 428175.538, 375136.158 428144.508, 375155.952 428134.878, 375047.349 427955.121, 375017.39 427908.845, 375045.744 427875.14, 375024.345 427859.091, 374959.076 427835.551, 374885.782 427773.492, 374807.673 427758.512, 374759.524 427740.323, 374735.984 427749.953, 374712.445 427715.446, 374674.193 427650.177, 374637.279 427626.102))",374797.58,428004.554,2462.37,220206.785,374529.744,427626.102,375155.951,428329.347
FB,Spring Hill,49,375063180,427700069,24/09/2013,"POLYGON((375072.761 427231.814, 375072.226 427242.514, 375068.481 427252.679, 375075.971 427279.429, 375063.131 427297.083, 375051.361 427301.363, 375038.522 427301.363, 375029.962 427322.228, 374957.203 427382.682, 374943.828 427385.357, 374943.293 427394.452, 374935.803 427412.106, 374930.988 427412.106, 374921.359 427421.201, 374906.379 427428.156, 374897.284 427419.061, 374881.234 427432.971, 374875.349 427446.881, 374868.395 427457.045, 374867.325 427464.535, 374846.995 427468.28, 374836.83 427455.975, 374821.315 427450.626, 374814.896 427465.605, 374809.011 427479.515, 374795.636 427490.75, 374789.751 427485.935, 374773.166 427507.335, 374772.631 427516.964, 374757.117 427511.08, 374752.837 427514.289, 374753.372 427524.454, 374750.697 427526.059, 374738.392 427522.849, 374726.89 427523.652, 374719.935 427536.492, 374713.515 427538.632, 374705.49 427546.122, 374693.72 427543.447, 374686.23 427554.146, 374683.555 427561.101, 374689.44 427569.126, 374685.695 427573.941, 374669.646 427579.291, 374677.135 427584.641, 374667.506 427592.131, 374665.901 427609.785, 374653.061 427616.74, 374647.711 427622.09, 374638.081 427623.695, 374673.391 427648.305, 374707.63 427708.759, 374722.075 427729.623, 374736.519 427750.755, 374761.129 427740.056, 374803.928 427757.175, 374826.398 427763.06, 374886.317 427774.295, 374960.681 427836.354, 375023.81 427858.824, 375045.744 427875.408, 375017.925 427909.113, 375032.904 427931.582, 375062.329 427981.069, 375089.613 428030.288, 375149.8 428126.586, 375154.615 428134.344, 375135.89 428145.043, 375151.94 428176.073, 375285.153 428109.199, 375293.178 428050.35, 375299.597 428036.44, 375331.697 427964.752, 375347.747 427924.36, 375388.941 427779.377, 375400.176 427732.566, 375328.487 427712.236, 375238.608 427687.092, 375215.069 427654.992, 375211.324 427590.258, 375195.809 427370.645, 375169.06 427350.85, 375093.626 427285.314, 375090.416 427247.864, 375072.761 427231.814))",375063.179,427700.069,2841.607,308625.92,374638.081,427231.814,375400.175,428176.072
FC,Spring Hill,48,375353610,427286508,24/09/2013,"POLYGON((375398.825 427732.692, 375415.344 427666.616, 375395.521 427493.715, 375404.331 427465.633, 375429.661 427475.545, 375459.395 427414.974, 375488.028 427413.873, 375505.649 427389.645, 375496.839 427374.227, 375505.649 427362.113, 375484.725 427351.1, 375522.168 427272.91, 375547.497 427266.302, 375575.029 427249.783, 375627.89 427267.404, 375644.409 427226.656, 375660.929 427148.466, 375643.308 427129.744, 375613.574 427133.048, 375589.346 427116.529, 375523.269 427092.301, 375518.864 427018.515, 375463.8 426978.869, 375490.231 426933.717, 375349.268 426919.401, 375294.204 426955.743, 375301.913 426970.059, 375283.191 427008.604, 375264.47 427021.819, 375258.963 427033.933, 375253.457 427036.136, 375246.849 427052.655, 375239.14 427069.174, 375228.127 427066.971, 375229.229 427082.389, 375218.216 427104.965, 375200.596 427108.269, 375187.38 427138.003, 375180.773 427139.105, 375148.836 427177.649, 375133.418 427184.257, 375111.392 427208.485, 375101.481 427207.384, 375075.05 427232.713, 375090.468 427248.131, 375093.772 427285.574, 375137.823 427325.22, 375195.089 427371.474, 375201.697 427451.867, 375206.102 427506.931, 375212.71 427620.362, 375214.912 427655.603, 375236.938 427686.439, 375278.786 427699.654, 375329.445 427712.869, 375398.825 427732.692))",375353.609,427286.508,2438.716,233459.082,375075.049,426919.401,375660.929,427732.691
FD,Spring Hill,47,375760140,427660784,24/09/2013,"POLYGON((375798.587 428316.367, 375818.411 428246.987, 375832.727 428222.759, 375881.184 428219.455, 375886.69 428208.443, 375895.5 428209.544, 375896.601 428155.581, 375893.298 428128.049, 375901.007 428108.226, 375921.931 428117.037, 375931.842 428097.765, 375937.349 428084.549, 375968.184 428018.473, 375980.298 427974.422, 375995.716 427927.067, 376015.539 427836.762, 376029.856 427780.597, 376043.071 427677.628, 376046.375 427633.577, 376046.375 427590.628, 376036.463 427589.526, 376048.577 427513.538, 376050.78 427512.437, 376054.084 427441.955, 376069.502 427376.98, 376077.211 427346.144, 376100.337 427270.156, 376142.186 427162.231, 376167.515 427122.586, 376152.097 427108.269, 376112.451 427141.307, 376067.299 427113.775, 376021.046 427126.991, 375962.678 427201.877, 375945.058 427198.574, 375925.235 427236.017, 375923.032 427306.498, 375863.563 427283.372, 375811.803 427263.549, 375708.283 427223.903, 375692.865 427231.612, 375645.511 427223.903, 375627.89 427266.853, 375570.624 427249.232, 375550.801 427262.447, 375522.168 427272.359, 375497.94 427326.872, 375484.724 427352.201, 375506.75 427361.011, 375495.737 427374.227, 375503.446 427389.645, 375488.028 427412.771, 375458.294 427412.771, 375431.863 427475.544, 375403.23 427462.329, 375396.622 427493.164, 375415.344 427660.558, 375399.926 427731.59, 375387.812 427776.743, 375494.636 427914.402, 375557.408 427991.491, 375642.206 428100.517, 375754.536 428255.797, 375798.587 428316.367))",375760.14,427660.783,3498.668,526302.115,375387.811,427108.268,376167.515,428316.367
GA,Milnshaw,41,376055276,429208186,24/09/2013,"POLYGON((375829.737 429340.63, 375842.504 429342.545, 375965.074 429339.353, 376074.875 429336.161, 376217.873 429331.692, 376311.715 429329.139, 376367.254 429308.711, 376316.822 429257.002, 376272.774 429211.677, 376228.087 429163.798, 376196.806 429145.285, 376155.95 429115.919, 376092.75 429065.487, 376030.189 429012.502, 375986.779 428974.837, 375927.409 429053.996, 375879.53 429121.665, 375859.741 429161.245, 375847.611 429220.614, 375839.312 429277.43, 375829.737 429340.63))",376055.276,429208.185,1457.421,113461.827,375829.737,428974.836,376367.254,429342.544
GB,Milnshaw,42,376070644,429726959,24/09/2013,"POLYGON((376366.297 429310.307, 376313.63 429329.458, 376289.372 429330.097, 376207.659 429331.373, 376102.964 429336.481, 376030.189 429336.481, 375925.813 429342.226, 375898.363 429340.949, 375844.1 429342.864, 375831.333 429339.672, 375789.199 429346.056, 375741.959 429346.695, 375712.594 429344.78, 375719.616 429314.137, 375613.006 429314.776, 375500.012 429320.521, 375475.116 429319.244, 375462.348 429322.436, 375376.805 429328.182, 375372.974 429323.075, 375342.332 429324.351, 375339.14 429333.927, 375324.457 429339.034, 375328.288 429360.739, 375292.538 429370.315, 375255.512 429389.466, 375275.302 429447.878, 375291.262 429498.949, 375304.029 429546.827, 375340.417 429688.867, 375357.015 429764.196, 375367.867 429831.865, 375369.144 429854.208, 375367.229 429899.533, 375503.524 429965.286, 375548.849 429940.39, 375587.152 429921.238, 375612.048 429906.555, 375647.159 429888.042, 375696.315 429868.252, 375730.787 429855.485, 375805.478 429871.444, 375850.165 429882.297, 375888.468 429893.788, 375926.132 429907.194, 375946.241 429907.513, 375967.946 429911.981, 376008.164 429919.004, 376027.954 429908.151, 376053.49 429922.834, 376077.11 429928.579, 376092.431 429928.579, 376124.35 429922.834, 376162.014 429941.985, 376190.742 429949.646, 376211.17 429960.499, 376222.022 429968.797, 376243.727 429993.694, 376305.65 430009.016, 376336.293 430037.104, 376358.636 430056.894, 376359.913 430081.791, 376363.743 430090.09, 376368.212 430095.835, 376373.957 430104.134, 376380.341 430111.795, 376386.086 430115.625, 376400.131 430120.094, 376416.729 430132.862, 376423.113 430130.308, 376429.496 430138.607, 376433.965 430139.245, 376459.181 430142.118, 376473.864 430154.247, 376480.248 430152.971, 376507.06 430164.461, 376541.532 430181.059, 376563.876 430195.742, 376572.175 430209.148, 376577.92 430214.894, 376596.433 430234.045, 376600.902 430241.067, 376609.201 430256.388, 376614.308 430274.901, 376623.884 430283.839, 376629.629 430311.928, 376639.843 430322.78, 376652.611 430320.865, 376653.888 430323.419, 376656.441 430334.909, 376674.954 430337.463, 376683.253 430346.4, 376696.659 430358.53, 376692.191 430383.426, 376705.597 430390.449, 376707.512 430399.386, 376721.556 430414.707, 376727.94 430429.39, 376746.453 430433.22, 376747.091 430445.349, 376752.198 430453.648, 376743.9 430461.947, 376748.368 430467.693, 376773.903 430474.715, 376776.457 430481.737, 376786.671 430481.099, 376787.948 430488.121, 376874.768 430361.402, 376923.923 430292.457, 376808.057 430129.989, 376780.606 430094.24, 376755.071 430050.83, 376705.277 429967.202, 376666.336 429889, 376625.48 429802.18, 376600.583 429742.811, 376568.664 429658.863, 376566.11 429652.48, 376550.789 429610.346, 376526.53 429555.446, 376500.995 429501.821, 376465.884 429441.175, 376431.412 429394.573, 376393.747 429340.949, 376366.297 429310.307))",376070.644,429726.959,4883.387,885367.601,375255.511,429310.306,376923.923,430488.12
GC,Milnshaw,40,375564799,429221891,24/09/2013,"POLYGON((375289.348 429372.23, 375327.013 429358.824, 375324.459 429340.311, 375335.95 429334.565, 375342.334 429325.628, 375371.7 429323.713, 375377.445 429328.82, 375458.519 429323.075, 375470.648 429319.883, 375495.545 429319.244, 375511.505 429318.606, 375664.716 429314.776, 375719.617 429313.499, 375712.595 429344.78, 375773.241 429346.056, 375830.057 429340.949, 375840.909 429256.683, 375847.931 429212.635, 375860.06 429160.926, 375877.297 429121.985, 375828.78 429114.324, 375741.96 429100.28, 375667.27 429087.512, 375570.236 429072.191, 375557.468 429135.391, 375491.077 429127.73, 375444.475 429121.346, 375425.323 429113.048, 375396.596 429109.856, 375385.106 429183.269, 375281.05 429177.524, 375253.599 429176.886, 375252.961 429169.225, 375206.997 429186.461, 375235.725 429252.853, 375289.348 429372.23))",375564.798,429221.891,1842.676,125499.975,375206.996,429072.19,375877.297,429372.229
HA,Church,15,374508941,429723126,24/09/2013,"POLYGON((373956.52 429479.473, 373977.087 429520.607, 373980.172 429551.457, 373967.832 429687.199, 373954.463 429794.148, 373924.641 429834.253, 373904.074 429851.735, 373887.621 429858.934, 373918.471 429871.274, 373946.237 429875.387, 373974.002 429866.132, 374011.023 429854.82, 374036.731 429878.472, 374047.015 429898.011, 374047.015 429923.72, 374054.213 429952.514, 374051.128 429968.967, 374047.015 429981.307, 374054.213 429998.789, 374053.185 430029.125, 374058.327 430035.296, 374085.064 430038.381, 374112.829 430036.324, 374114.886 430045.579, 374098.432 430056.891, 374089.177 430131.96, 374081.979 430143.272, 374078.894 430156.641, 374098.432 430172.066, 374111.801 430170.009, 374121.056 430176.18, 374127.226 430170.009, 374160.133 430181.321, 374171.445 430191.605, 374200.239 430206.002, 374209.494 430208.058, 374229.033 430206.002, 374256.798 430201.888, 374281.479 430203.945, 374304.102 430193.661, 374319.527 430192.633, 374394.597 430153.556, 374450.128 430119.62, 374469.667 430107.28, 374566.331 430084.656, 374680.478 430136.074, 374693.847 430165.896, 374723.669 430199.832, 374815.192 430196.747, 374791.54 430160.754, 374770.973 430105.223, 374754.519 430061.004, 374734.981 430021.927, 374667.11 429964.339, 374724.697 429929.376, 374773.03 429893.383, 374858.383 429818.314, 374941.165 429766.896, 374966.874 429743.244, 375016.235 429726.791, 375005.951 429697.997, 374983.327 429663.033, 374954.534 429650.693, 374967.902 429605.96, 374987.441 429557.627, 375064.567 429475.359, 375127.296 429442.452, 375256.868 429386.921, 375288.747 429372.524, 375238.358 429252.207, 375084.106 429321.107, 375015.206 429298.483, 374976.129 429294.37, 374965.845 429291.285, 374921.626 429304.653, 374893.861 429300.54, 374847.585 429334.475, 374761.204 429362.241, 374642.944 429385.893, 374565.817 429401.318, 374511.315 429419.828, 374361.176 429446.566, 374278.908 429459.934, 374158.591 429470.218, 374065.525 429476.388, 374020.278 429472.274, 373956.52 429479.473))",374508.94,429723.125,4491.637,695637.347,373887.62,429252.206,375288.746,430208.058
HB,Church,12,374925751,429099959,24/09/2013,"POLYGON((374509.258 429421.37, 374577.13 429400.803, 374765.318 429360.697, 374849.642 429333.96, 374894.889 429303.624, 374920.598 429306.195, 374959.676 429292.826, 375012.121 429297.968, 375083.078 429320.592, 375236.302 429251.692, 375207.508 429185.878, 375252.241 429168.396, 375253.27 429175.594, 375280.007 429177.651, 375289.262 428974.038, 375234.759 428984.321, 375246.071 428918.507, 375233.731 428869.146, 375159.69 428888.685, 375079.478 428899.997, 375083.592 428821.842, 374979.728 428814.644, 374936.538 428806.417, 374905.687 428812.587, 374868.667 428826.984, 374851.185 428865.033, 374823.419 428891.77, 374759.662 428884.571, 374614.664 428871.203, 374648.6 428964.783, 374690.762 429077.901, 374598.211 429250.664, 374532.396 429372.009, 374509.258 429421.37))",374925.75,429099.959,2653.599,293837.349,374509.257,428806.417,375289.261,429421.369
HC,Church,14,374194365,429086307,24/09/2013,"POLYGON((374614.664 428871.718, 374581.757 428813.102, 374516.97 428741.118, 374448.071 428679.417, 374384.313 428587.893, 374244.458 428525.164, 374226.976 428558.071, 374230.061 428603.319, 374204.352 428675.303, 374165.275 428795.62, 374138.538 428882.001, 374106.659 428921.079, 374063.468 428953.986, 373886.592 428889.2, 373622.306 428914.909, 373631.561 428941.646, 373648.015 428976.61, 373650.072 428988.95, 373640.816 429009.517, 373639.788 429044.481, 373638.76 429092.813, 373629.505 429131.89, 373632.59 429154.514, 373652.128 429160.684, 373674.752 429186.393, 373712.801 429230.612, 373729.255 429247.066, 373731.311 429255.806, 373742.623 429309.281, 373762.162 429331.904, 373786.842 429333.961, 373837.231 429334.989, 373870.138 429343.216, 373882.479 429379.208, 373886.592 429424.456, 373903.046 429435.768, 373940.066 429460.448, 373957.548 429478.444, 374021.306 429472.274, 374078.894 429476.388, 374162.19 429469.189, 374286.62 429458.906, 374510.8 429419.828, 374573.53 429296.426, 374690.762 429077.902, 374644.486 428953.472, 374614.664 428871.718))",374194.364,429086.307,3380.295,601727.158,373622.305,428525.163,374690.761,429478.444
HD,Church,13,374339769,428606882,24/09/2013,"POLYGON((374980.242 428817.215, 374984.356 428709.238, 374986.412 428649.594, 374990.526 428543.674, 374998.753 428462.434, 375010.065 428389.422, 374859.925 428353.429, 374683.563 428328.749, 374436.759 428310.239, 374327.754 428309.21, 374231.09 428317.437, 374118.999 428341.089, 374066.554 428360.113, 374016.164 428381.709, 373928.755 428421.814, 373826.948 428497.912, 373749.822 428566.812, 373671.667 428655.25, 373585.286 428752.943, 373607.91 428842.409, 373595.569 428868.118, 373614.08 428884.572, 373622.306 428916.451, 373764.219 428896.912, 373884.536 428889.713, 374015.136 428937.018, 374062.44 428954.499, 374106.659 428917.479, 374140.595 428878.402, 374162.19 428806.417, 374184.814 428736.489, 374208.466 428659.363, 374229.033 428602.804, 374228.004 428575.038, 374229.033 428555.5, 374245.486 428526.706, 374316.957 428559.613, 374383.799 428586.35, 374411.565 428620.286, 374449.614 428679.93, 374477.379 428706.667, 374511.315 428738.032, 374585.356 428819.271, 374617.235 428871.717, 374682.021 428877.887, 374827.018 428889.199, 374853.755 428861.434, 374870.209 428826.47, 374905.173 428814.129, 374943.222 428806.931, 374980.242 428817.215))",374339.769,428606.881,4049.858,587374.156,373585.286,428309.21,375010.065,428954.499
IA,St Andrews,24,374173804,427893783,24/09/2013,"POLYGON((374560.568 428315.729, 374579.66 428104.805, 374562.386 428088.44, 374554.204 428080.258, 374531.475 427996.616, 374554.204 427979.342, 374622.391 427822.058, 374631.482 427766.599, 374639.665 427729.324, 374659.666 427670.683, 374627.846 427661.592, 374639.665 427622.498, 374648.756 427621.589, 374655.12 427616.134, 374665.121 427610.679, 374666.939 427590.678, 374676.94 427584.314, 374669.667 427579.768, 374682.395 427574.313, 374689.668 427569.767, 374684.213 427562.494, 374683.304 427557.039, 374692.396 427543.402, 374704.215 427546.129, 374712.397 427539.765, 374720.58 427537.037, 374727.853 427522.491, 374576.933 427500.671, 374564.205 427517.036, 374542.385 427485.216, 374525.111 427503.399, 374457.834 427449.759, 374405.103 427486.125, 374369.645 427415.211, 374295.095 427264.745, 374293.276 427257.472, 374180.541 427320.204, 374149.63 427275.655, 374134.174 427259.29, 374116.9 427262.018, 374079.625 427283.838, 374050.532 427301.112, 373955.98 427396.573, 373921.432 427439.303, 373916.886 427441.122, 373935.978 427464.76, 373948.706 427483.852, 373960.525 427502.944, 373979.618 427521.127, 374011.438 427549.311, 374028.712 427566.585, 374025.075 427604.77, 374015.984 427636.59, 374007.802 427647.5, 373994.164 427655.682, 373979.618 427668.41, 373970.526 427682.048, 373969.617 427705.231, 373969.617 427727.051, 373961.435 427752.507, 373950.525 427767.054, 373935.069 427766.145, 373915.068 427757.962, 373895.975 427775.236, 373884.611 427807.511, 373866.428 427834.786, 373820.97 427862.97, 373728.236 427930.247, 373652.776 427844.787, 373629.138 427831.149, 373615.501 427832.058, 373550.042 427843.877, 373568.225 427896.609, 373575.498 427918.428, 373584.59 427943.885, 373584.59 427958.431, 373588.226 427967.523, 373595.5 427972.068, 373615.501 427982.978, 373631.866 427987.524, 373643.685 427989.342, 373663.686 428001.161, 373680.051 428021.163, 373691.87 428040.255, 373703.689 428062.075, 373710.962 428075.712, 373707.326 428099.35, 373707.326 428107.533, 373713.69 428120.261, 373724.6 428128.443, 373731.873 428133.898, 373754.602 428140.262, 373761.875 428147.535, 373763.693 428161.173, 373758.238 428173.901, 373741.874 428197.539, 373740.055 428213.904, 373735.51 428225.723, 373732.782 428234.814, 373743.692 428255.725, 373752.784 428271.181, 373746.419 428293.91, 373730.964 428303.91, 373724.6 428317.548, 373711.872 428354.368, 373680.96 428394.371, 373708.235 428410.736, 373753.693 428435.283, 373803.696 428452.557, 373869.155 428465.285, 373887.339 428455.285, 373933.706 428419.828, 373977.345 428398.917, 374038.258 428372.551, 374100.99 428345.277, 374160.994 428329.821, 374211.907 428320.73, 374275.548 428314.366, 374359.19 428306.183, 374413.74 428308.001, 374486.927 428313.456, 374560.568 428315.729))",374173.804,427893.782,4602.515,773438.043,373550.042,427257.472,374727.853,428465.284
