Address,Postcode,Easting,Northin
Village Hall The Green Stillington York North Yorkshire YO61 1JX,YO61 1JX,458622,467886
Tollerton War Memorial Institute Tollerton York North Yorkshire YO61 1RD,YO61 1RD,451371,464388
Alne - Village Hall Main Street Alne York North Yorkshire YO61 1RR,YO61 1RR,449538,465427
Village Hall Tholthorpe York North Yorkshire YO61 1SN,YO61 1SN,447428,466940
Helperby Millennium Hall Main Street Helperby York North Yorkshire YO61 2NS,YO61 2NS,443753,469985
Methodist School rooms Chapel Street Easingwold York North Yorkshire YO61 3AE,YO61 3AE,452876,469620
Raskelf Village Hall Raskelf Easingwold York North Yorkshire YO61 3LG,YO61 3LG,449377,470841
Coxwold - Village Hall Coxwold York North Yorkshire YO61 4BB,YO61 4BB,453611,477324
Husthwaite Village Hall Husthwaite York North Yorkshire YO61 4PF,YO61 4PF,451994,474771
Brandsby-cum-Stearsby - Cholmeley Hall Brandsby York North YorkshireYO61 4RN,YO61 4RN,459174,471822
Crayke - Sports Club Easingwold Road Crayke York North Yorkshire YO61 4TZ,YO61 4TZ,455778,470310
Slingsby Village Hall Slingsby York YO62 4AD,YO62 4AD,469761,474997
Ampleforth Village Hall Ampleforth York YO62 4DU,YO62 4DU,458265,478656
Gilling East Village Hall Pottergate Gilling East York YO62 4JJ,YO62 4JJ,461339,476948
Hovingham Village Hall Hovingham YorkYO62 4LF,YO62 4LF,466770,475640
Helmsley Methodist Church School Rooms Ashdale Road Helmsley York YO62 5DD,YO62 5DD,461659,483900
Harome Methodist School Room Chapel Lane Harome York YO62 5JZ,YO62 5JL,465035,482082
Rievaulx Village Hall Rievaulx Helmsley York YO62 5LB,YO62 5LB,457648,485158
Hawnby Village Hall Hawnby York YO62 5QR,YO62 5QR,454217,489367
Nunnington Village Hall Nunnington York YO62 5UU,YO62 5UU,466954,479336
Oswaldkirk Village Hall Oswaldkirk YO62 5XT,YO62 5XT,462355,479036
Kirkbymoorside Memorial Hall Kirkbymoorside York YO62 6DA,YO62 6DA,469649,486599
Edstone Village Hall Great Edstone York YO62 6PD,YO62 6PD,470649,484159
Marton Mission Room Marton Sinnington York YO62 6RD,YO62 6RD,473348,483228
Salton Village Hall Salton York YO62 6RN,YO62 6RN,471658,480011
Sinnington Village Hall Sinnington York YO62 6RZ,YO62 6RZ,474460,485862
Appleton-le-Moors Village Hall Appleton-Le-Moors York YO62 5TF,YO62 6TF,473557,487714
Lastingham Darley Memorial Hall Lastingham York YO62 6TL,YO62 6TL,472849,490417
Hutton-le-Hole Village Hall Hutton-le-Hole York YO62 6UA,YO62 6UA,470569,489892
Fadmoor Village Hall Fadmoor York YO62 7HY,YO62 7HY,467432,489433
Bransdale National Trust Office Smout House Bransdale York YO62 7JL,YO62 7JL,462528,497940
Farndale East Village Hall Church Houses Farndale East Kirkbymoorside York YO62 7LH,YO62 7LH,467001,497540
Wombleton Village Hall Page Lane Wombleton York YO62 7SE,YO62 7SE,466984,483977
Nawton Memorial Hall Nawton York YO62 7SS,YO62 7SS,465448,484701
Pockley Village Hall Pockley York YO62 7TE,YO62 7TE,463754,486028
East of Cod Beck - East Thirsk Community Hall Function Room Off Hambleton Place Thirsk North Yorkshire YO7 1DS,YO7 1DS,443326,482470
