council_name,council_code,polling_district_id,address,postcode,source
Basildon Borough Council,E07000066,BA,,,
Basildon Borough Council,E07000066,BB,,,
Basildon Borough Council,E07000066,BC,,,
Basildon Borough Council,E07000066,BD,,,
Basildon Borough Council,E07000066,BE,,,
Basildon Borough Council,E07000066,BF,,,
Basildon Borough Council,E07000066,BG,,,
Basildon Borough Council,E07000066,BH,,,
Basildon Borough Council,E07000066,BI,,,
Basildon Borough Council,E07000066,BJ,,,
Basildon Borough Council,E07000066,BK,,,
Basildon Borough Council,E07000066,BL,,,
Basildon Borough Council,E07000066,BM,,,
Basildon Borough Council,E07000066,BN,,,
Basildon Borough Council,E07000066,BO,,,
Basildon Borough Council,E07000066,BP,,,
Basildon Borough Council,E07000066,BQ,,,
Basildon Borough Council,E07000066,BR,,,
Basildon Borough Council,E07000066,BS,,,
Basildon Borough Council,E07000066,BT,,,
Basildon Borough Council,E07000066,BU,,,
Basildon Borough Council,E07000066,BV,,,
Basildon Borough Council,E07000066,BW,,,
Basildon Borough Council,E07000066,BX,,,
Basildon Borough Council,E07000066,BY,,,
Basildon Borough Council,E07000066,BZ,,,
Basildon Borough Council,E07000066,CA,,,
Basildon Borough Council,E07000066,CB,,,
Basildon Borough Council,E07000066,CC,,,
Basildon Borough Council,E07000066,CD,,,
Basildon Borough Council,E07000066,CE,,,
Basildon Borough Council,E07000066,CF,,,
Basildon Borough Council,E07000066,CG,,,
Basildon Borough Council,E07000066,CH,,,
Basildon Borough Council,E07000066,CI,,,
Basildon Borough Council,E07000066,CJ,,,
Basildon Borough Council,E07000066,DA,,,
Basildon Borough Council,E07000066,DB,,,
Basildon Borough Council,E07000066,DC,,,
Basildon Borough Council,E07000066,DD,,,
Basildon Borough Council,E07000066,DE,,,
Basildon Borough Council,E07000066,DF,,,
Basildon Borough Council,E07000066,DG,,,
Basildon Borough Council,E07000066,DH,,,
Basildon Borough Council,E07000066,DI,,,
Basildon Borough Council,E07000066,DJ,,,
Basildon Borough Council,E07000066,DK,,,
Basildon Borough Council,E07000066,DL,,,
Basildon Borough Council,E07000066,DM,,,
Basildon Borough Council,E07000066,DN,,,
Basildon Borough Council,E07000066,DO,,,
Basildon Borough Council,E07000066,DP,,,
Basildon Borough Council,E07000066,DQ,,,
Basildon Borough Council,E07000066,DR,,,
Basildon Borough Council,E07000066,DS,,,
Basildon Borough Council,E07000066,DT,,,
Basildon Borough Council,E07000066,DU,,,
Basildon Borough Council,E07000066,DV,,,
Basildon Borough Council,E07000066,EA,,,
Basildon Borough Council,E07000066,EB,,,
Basildon Borough Council,E07000066,EC,,,
Basildon Borough Council,E07000066,ED,,,
Basildon Borough Council,E07000066,EE,,,
Basildon Borough Council,E07000066,EF,,,
Basildon Borough Council,E07000066,EG,,,
Basildon Borough Council,E07000066,EH,,,
Basildon Borough Council,E07000066,EI,,,
