council_name,council_code,polling_district_id,address,postcode,source
Rugby Borough Council,E07000220,AA,,,
Rugby Borough Council,E07000220,AB,,,
Rugby Borough Council,E07000220,AC,,,
Rugby Borough Council,E07000220,AD1,,,
Rugby Borough Council,E07000220,AD2,,,
Rugby Borough Council,E07000220,AE,,,
Rugby Borough Council,E07000220,BA,,,
Rugby Borough Council,E07000220,BB,,,
Rugby Borough Council,E07000220,BC,,,
Rugby Borough Council,E07000220,BD,,,
Rugby Borough Council,E07000220,BE,,,
Rugby Borough Council,E07000220,BF,,,
Rugby Borough Council,E07000220,BG,,,
Rugby Borough Council,E07000220,BH,,,
Rugby Borough Council,E07000220,BI,,,
Rugby Borough Council,E07000220,CA,,,
Rugby Borough Council,E07000220,CB,,,
Rugby Borough Council,E07000220,CC,,,
Rugby Borough Council,E07000220,CE,,,
Rugby Borough Council,E07000220,CF,,,
Rugby Borough Council,E07000220,CG,,,
Rugby Borough Council,E07000220,CH,,,
Rugby Borough Council,E07000220,CI,,,
Rugby Borough Council,E07000220,CJ,,,
Rugby Borough Council,E07000220,CK,,,
Rugby Borough Council,E07000220,DA,,,
Rugby Borough Council,E07000220,DB,,,
Rugby Borough Council,E07000220,DC,,,
Rugby Borough Council,E07000220,DD,,,
Rugby Borough Council,E07000220,DE,,,
Rugby Borough Council,E07000220,EA,,,
Rugby Borough Council,E07000220,EB,,,
Rugby Borough Council,E07000220,EC,,,
Rugby Borough Council,E07000220,FA,,,
Rugby Borough Council,E07000220,FB,,,
Rugby Borough Council,E07000220,FC,,,
Rugby Borough Council,E07000220,FD,,,
Rugby Borough Council,E07000220,FE,,,
Rugby Borough Council,E07000220,FF,,,
Rugby Borough Council,E07000220,FG,,,
Rugby Borough Council,E07000220,FH,,,
Rugby Borough Council,E07000220,GA,,,
Rugby Borough Council,E07000220,GB,,,
Rugby Borough Council,E07000220,GC,,,
Rugby Borough Council,E07000220,GD,,,
Rugby Borough Council,E07000220,GE,,,
Rugby Borough Council,E07000220,GF,,,
Rugby Borough Council,E07000220,HA,,,
Rugby Borough Council,E07000220,HB,,,
Rugby Borough Council,E07000220,HC,,,
Rugby Borough Council,E07000220,HD,,,
Rugby Borough Council,E07000220,HE,,,
Rugby Borough Council,E07000220,HF,,,
Rugby Borough Council,E07000220,HG,,,
Rugby Borough Council,E07000220,IA,,,
Rugby Borough Council,E07000220,IB,,,
Rugby Borough Council,E07000220,IC,,,
Rugby Borough Council,E07000220,ID,,,
Rugby Borough Council,E07000220,IE,,,
Rugby Borough Council,E07000220,IF,,,
Rugby Borough Council,E07000220,IG,,,
Rugby Borough Council,E07000220,JA,,,
Rugby Borough Council,E07000220,JB,,,
Rugby Borough Council,E07000220,JC,,,
Rugby Borough Council,E07000220,JD,,,
Rugby Borough Council,E07000220,JE,,,
Rugby Borough Council,E07000220,JF,,,
Rugby Borough Council,E07000220,JG,,,
Rugby Borough Council,E07000220,JH,,,
Rugby Borough Council,E07000220,JI,,,
Rugby Borough Council,E07000220,JJ,,,
Rugby Borough Council,E07000220,KA,,,
Rugby Borough Council,E07000220,KB1,,,
Rugby Borough Council,E07000220,KB2,,,
Rugby Borough Council,E07000220,KC,,,
Rugby Borough Council,E07000220,KD,,,
Rugby Borough Council,E07000220,KE1,,,
Rugby Borough Council,E07000220,KE2,,,
Rugby Borough Council,E07000220,KF,,,
Rugby Borough Council,E07000220,KG,,,
Rugby Borough Council,E07000220,KH,,,
Rugby Borough Council,E07000220,KJ1,,,
Rugby Borough Council,E07000220,KJ2,,,
Rugby Borough Council,E07000220,KK1,,,
Rugby Borough Council,E07000220,KK2,,,
Rugby Borough Council,E07000220,KL,,,
Rugby Borough Council,E07000220,KM,,,
Rugby Borough Council,E07000220,KN,,,
Rugby Borough Council,E07000220,KO,,,
Rugby Borough Council,E07000220,KP1,,,
Rugby Borough Council,E07000220,KP2,,,
Rugby Borough Council,E07000220,KP3,,,
Rugby Borough Council,E07000220,KQ,,,
Rugby Borough Council,E07000220,KR,,,
Rugby Borough Council,E07000220,KS,,,
Rugby Borough Council,E07000220,KT,,,
Rugby Borough Council,E07000220,KU,,,
Rugby Borough Council,E07000220,KV,,,
Rugby Borough Council,E07000220,KW,,,
Rugby Borough Council,E07000220,KX1,,,
Rugby Borough Council,E07000220,KX2,,,
Rugby Borough Council,E07000220,KY,,,
Rugby Borough Council,E07000220,KZ,,,
Rugby Borough Council,E07000220,LA,,,
Rugby Borough Council,E07000220,LB,,,
Rugby Borough Council,E07000220,LC,,,
Rugby Borough Council,E07000220,LD,,,
Rugby Borough Council,E07000220,LE1,,,
Rugby Borough Council,E07000220,LE2,,,
Rugby Borough Council,E07000220,LF,,,
Rugby Borough Council,E07000220,LG,,,
Rugby Borough Council,E07000220,LH,,,
Rugby Borough Council,E07000220,LI,,,
Rugby Borough Council,E07000220,LJ,,,
Rugby Borough Council,E07000220,LK,,,
Rugby Borough Council,E07000220,LL,,,
Rugby Borough Council,E07000220,LM,,,
Rugby Borough Council,E07000220,LN,,,
Rugby Borough Council,E07000220,LO1,,,
Rugby Borough Council,E07000220,LO2,,,
Rugby Borough Council,E07000220,LP,,,
