council_name,council_code,polling_district_id,address,postcode,source
Ashfield District Council,E07000170,ABH1,,,
Ashfield District Council,E07000170,AKW1,,,
Ashfield District Council,E07000170,AKW2,,,
Ashfield District Council,E07000170,AKW3,,,
Ashfield District Council,E07000170,AKW4,,,
Ashfield District Council,E07000170,AKW5,,,
Ashfield District Council,E07000170,AKW6,,,
Ashfield District Council,E07000170,ASH1,,,
Ashfield District Council,E07000170,ASH2,,,
Ashfield District Council,E07000170,ASH3,,,
Ashfield District Council,E07000170,ASH4,,,
Ashfield District Council,E07000170,CAR1,,,
Ashfield District Council,E07000170,CAR2,,,
Ashfield District Council,E07000170,CAR3,,,
Ashfield District Council,E07000170,CNX1,,,
Ashfield District Council,E07000170,CNX2,,,
Ashfield District Council,E07000170,CNX3,,,
Ashfield District Council,E07000170,CNX4,,,
Ashfield District Council,E07000170,CNX5,,,
Ashfield District Council,E07000170,CNX6,,,
Ashfield District Council,E07000170,CNX7,,,
Ashfield District Council,E07000170,DAL1,,,
Ashfield District Council,E07000170,DAL2,,,
Ashfield District Council,E07000170,DAL3,,,
Ashfield District Council,E07000170,HBR1,,,
Ashfield District Council,E07000170,HBR2,,,
Ashfield District Council,E07000170,HBR3,,,
Ashfield District Council,E07000170,HBR4,,,
Ashfield District Council,E07000170,HBR5,,,
Ashfield District Council,E07000170,HCE1,,,
Ashfield District Council,E07000170,HCE2,,,
Ashfield District Council,E07000170,HCE3,,,
Ashfield District Council,E07000170,HCE4,,,
Ashfield District Council,E07000170,HCE5,,,
Ashfield District Council,E07000170,HCE6,,,
Ashfield District Council,E07000170,HNO1,,,
Ashfield District Council,E07000170,HNO2,,,
Ashfield District Council,E07000170,HNO3,,,
Ashfield District Council,E07000170,HNO4,,,
Ashfield District Council,E07000170,HNO5,,,
Ashfield District Council,E07000170,HNO6,,,
Ashfield District Council,E07000170,HNO7,,,
Ashfield District Council,E07000170,HSO1,,,
Ashfield District Council,E07000170,HSO2,,,
Ashfield District Council,E07000170,HSO3,,,
Ashfield District Council,E07000170,HSO4,,,
Ashfield District Council,E07000170,HWE1,,,
Ashfield District Council,E07000170,HWE2,,,
Ashfield District Council,E07000170,HWE3,,,
Ashfield District Council,E07000170,HWE4,,,
Ashfield District Council,E07000170,JCK1,,,
Ashfield District Council,E07000170,JCK2,,,
Ashfield District Council,E07000170,JCK3,,,
Ashfield District Council,E07000170,JCK4,,,
Ashfield District Council,E07000170,KWY1,,,
Ashfield District Council,E07000170,KWY2,,,
Ashfield District Council,E07000170,KXP1,,,
Ashfield District Council,E07000170,KXP2,,,
Ashfield District Council,E07000170,KXP3,,,
Ashfield District Council,E07000170,KXP4,,,
Ashfield District Council,E07000170,LAR1,,,
Ashfield District Council,E07000170,LAR2,,,
Ashfield District Council,E07000170,LAR3,,,
Ashfield District Council,E07000170,LEM1,,,
Ashfield District Council,E07000170,LEM2,,,
Ashfield District Council,E07000170,SEL1,,,
Ashfield District Council,E07000170,SEL2,,,
Ashfield District Council,E07000170,SEL3,,,
Ashfield District Council,E07000170,SEL4,,,
Ashfield District Council,E07000170,SEL5,,,
Ashfield District Council,E07000170,SEL6,,,
Ashfield District Council,E07000170,SHL1,,,
Ashfield District Council,E07000170,SHL2,,,
Ashfield District Council,E07000170,SHL3,,,
Ashfield District Council,E07000170,SJH1,,,
Ashfield District Council,E07000170,SJH2,,,
Ashfield District Council,E07000170,SJH3,,,
Ashfield District Council,E07000170,SKG1,,,
Ashfield District Council,E07000170,SKG2,,,
Ashfield District Council,E07000170,SKG3,,,
Ashfield District Council,E07000170,SKG4,,,
Ashfield District Council,E07000170,SKG5,,,
Ashfield District Council,E07000170,STM1,,,
Ashfield District Council,E07000170,STM2,,,
Ashfield District Council,E07000170,STM3,,,
Ashfield District Council,E07000170,STM4,,,
Ashfield District Council,E07000170,STM5,,,
Ashfield District Council,E07000170,STM6,,,
Ashfield District Council,E07000170,SUM1,,,
Ashfield District Council,E07000170,SUM2,,,
Ashfield District Council,E07000170,SUM3,,,
Ashfield District Council,E07000170,SUM4,,,
Ashfield District Council,E07000170,SUM5,,,
Ashfield District Council,E07000170,UND1,,,
Ashfield District Council,E07000170,UND2,,,
Ashfield District Council,E07000170,UND3,,,
Ashfield District Council,E07000170,UND4,,,
Ashfield District Council,E07000170,UND5,,,
Ashfield District Council,E07000170,UND6,,,
