council_name,council_code,polling_district_id,address,postcode,source
Oadby and Wigston Borough Council,E07000135,A,,,
Oadby and Wigston Borough Council,E07000135,B,,,
Oadby and Wigston Borough Council,E07000135,C,,,
Oadby and Wigston Borough Council,E07000135,D,,,
Oadby and Wigston Borough Council,E07000135,E,,,
Oadby and Wigston Borough Council,E07000135,F,,,
Oadby and Wigston Borough Council,E07000135,G,,,
Oadby and Wigston Borough Council,E07000135,H,,,
Oadby and Wigston Borough Council,E07000135,I,,,
Oadby and Wigston Borough Council,E07000135,J,,,
Oadby and Wigston Borough Council,E07000135,K,,,
Oadby and Wigston Borough Council,E07000135,L,,,
Oadby and Wigston Borough Council,E07000135,M,,,
Oadby and Wigston Borough Council,E07000135,N,,,
Oadby and Wigston Borough Council,E07000135,O,,,
Oadby and Wigston Borough Council,E07000135,P,,,
Oadby and Wigston Borough Council,E07000135,Q,,,
Oadby and Wigston Borough Council,E07000135,R,,,
Oadby and Wigston Borough Council,E07000135,S,,,
