council_name,council_code,polling_district_id,address,postcode,source
South Hams District Council,E07000044,LAA,,,
South Hams District Council,E07000044,LAB,,,
South Hams District Council,E07000044,LAC,,,
South Hams District Council,E07000044,LAD,,,
South Hams District Council,E07000044,LAE,,,
South Hams District Council,E07000044,LAF,,,
South Hams District Council,E07000044,LAG,,,
South Hams District Council,E07000044,LAH,,,
South Hams District Council,E07000044,LAI,,,
South Hams District Council,E07000044,LAJ,,,
South Hams District Council,E07000044,LAK,,,
South Hams District Council,E07000044,LAL,,,
South Hams District Council,E07000044,LAM,,,
South Hams District Council,E07000044,LAN,,,
South Hams District Council,E07000044,LAO,,,
South Hams District Council,E07000044,LAP,,,
South Hams District Council,E07000044,LAQ,,,
South Hams District Council,E07000044,LAR,,,
South Hams District Council,E07000044,LAS,,,
South Hams District Council,E07000044,LAT,,,
South Hams District Council,E07000044,LAU,,,
South Hams District Council,E07000044,LAV,,,
South Hams District Council,E07000044,LAW,,,
South Hams District Council,E07000044,LAX,,,
South Hams District Council,E07000044,LAY,,,
South Hams District Council,E07000044,LAZ,,,
South Hams District Council,E07000044,LBA,,,
South Hams District Council,E07000044,LBB,,,
South Hams District Council,E07000044,SAA,,,
South Hams District Council,E07000044,SAB,,,
South Hams District Council,E07000044,SAC,,,
South Hams District Council,E07000044,SAD,,,
South Hams District Council,E07000044,SAE,,,
South Hams District Council,E07000044,SAF,,,
South Hams District Council,E07000044,SAG,,,
South Hams District Council,E07000044,SAH,,,
South Hams District Council,E07000044,SAI,,,
South Hams District Council,E07000044,SAJ,,,
South Hams District Council,E07000044,SAK,,,
South Hams District Council,E07000044,SAL,,,
South Hams District Council,E07000044,SAM,,,
South Hams District Council,E07000044,SAN,,,
South Hams District Council,E07000044,SAO,,,
South Hams District Council,E07000044,SAP,,,
South Hams District Council,E07000044,SAQ,,,
South Hams District Council,E07000044,SAR,,,
South Hams District Council,E07000044,SAS,,,
South Hams District Council,E07000044,SAT,,,
South Hams District Council,E07000044,SAU,,,
South Hams District Council,E07000044,SAV,,,
South Hams District Council,E07000044,SAW,,,
South Hams District Council,E07000044,SAX,,,
South Hams District Council,E07000044,SAY,,,
South Hams District Council,E07000044,SAZ,,,
South Hams District Council,E07000044,SBA,,,
South Hams District Council,E07000044,SBB,,,
South Hams District Council,E07000044,SBC,,,
South Hams District Council,E07000044,SBD,,,
South Hams District Council,E07000044,SBE,,,
South Hams District Council,E07000044,SBF,,,
South Hams District Council,E07000044,SBG,,,
South Hams District Council,E07000044,SBH,,,
South Hams District Council,E07000044,SBI,,,
South Hams District Council,E07000044,SBJ,,,
South Hams District Council,E07000044,SBK,,,
South Hams District Council,E07000044,SBL,,,
South Hams District Council,E07000044,SBM,,,
South Hams District Council,E07000044,SBN,,,
South Hams District Council,E07000044,SBO,,,
South Hams District Council,E07000044,SBP,,,
South Hams District Council,E07000044,SBQ,,,
South Hams District Council,E07000044,SBR,,,
South Hams District Council,E07000044,SBS,,,
South Hams District Council,E07000044,SBT,,,
South Hams District Council,E07000044,SBU,,,
South Hams District Council,E07000044,SBV,,,
South Hams District Council,E07000044,SBW,,,
South Hams District Council,E07000044,SBX,,,
South Hams District Council,E07000044,SBY,,,
South Hams District Council,E07000044,SBZ,,,
South Hams District Council,E07000044,SCA,,,
South Hams District Council,E07000044,SCB,,,
South Hams District Council,E07000044,SCC,,,
South Hams District Council,E07000044,SCD,,,
South Hams District Council,E07000044,SCE,,,
South Hams District Council,E07000044,SCF,,,
South Hams District Council,E07000044,SCG,,,
South Hams District Council,E07000044,SCH,,,
South Hams District Council,E07000044,SCI,,,
