council_name,council_code,polling_district_id,address,postcode,source
Newham Borough Council,E09000025,EBEA,,,
Newham Borough Council,E09000025,EBEB,,,
Newham Borough Council,E09000025,EBEC,,,
Newham Borough Council,E09000025,EBED,,,
Newham Borough Council,E09000025,EBOA,,,
Newham Borough Council,E09000025,EBOB,,,
Newham Borough Council,E09000025,EBOC,,,
Newham Borough Council,E09000025,EBOD,,,
Newham Borough Council,E09000025,EECA,,,
Newham Borough Council,E09000025,EECB,,,
Newham Borough Council,E09000025,EECC,,,
Newham Borough Council,E09000025,EECD,,,
Newham Borough Council,E09000025,EENA,,,
Newham Borough Council,E09000025,EENB,,,
Newham Borough Council,E09000025,EENC,,,
Newham Borough Council,E09000025,EEND,,,
Newham Borough Council,E09000025,EESA,,,
Newham Borough Council,E09000025,EESB,,,
Newham Borough Council,E09000025,EESC,,,
Newham Borough Council,E09000025,EESD,,,
Newham Borough Council,E09000025,EGEA,,,
Newham Borough Council,E09000025,EGEB,,,
Newham Borough Council,E09000025,EGEC,,,
Newham Borough Council,E09000025,EGED,,,
Newham Borough Council,E09000025,ELIA,,,
Newham Borough Council,E09000025,ELIB,,,
Newham Borough Council,E09000025,ELIC,,,
Newham Borough Council,E09000025,EMPA,,,
Newham Borough Council,E09000025,EMPB,,,
Newham Borough Council,E09000025,EMPC,,,
Newham Borough Council,E09000025,EMPD,,,
Newham Borough Council,E09000025,ERDA,,,
Newham Borough Council,E09000025,ERDB,,,
Newham Borough Council,E09000025,ERDC,,,
Newham Borough Council,E09000025,ERDD,,,
Newham Borough Council,E09000025,ERDE,,,
Newham Borough Council,E09000025,EWEA,,,
Newham Borough Council,E09000025,EWEB,,,
Newham Borough Council,E09000025,EWEC,,,
Newham Borough Council,E09000025,WCHA,,,
Newham Borough Council,E09000025,WCHB,,,
Newham Borough Council,E09000025,WCHC,,,
Newham Borough Council,E09000025,WCHD,,,
Newham Borough Council,E09000025,WCHE,,,
Newham Borough Council,E09000025,WCNA,,,
Newham Borough Council,E09000025,WCNB,,,
Newham Borough Council,E09000025,WCNC,,,
Newham Borough Council,E09000025,WCND,,,
Newham Borough Council,E09000025,WCSA,,,
Newham Borough Council,E09000025,WCSB,,,
Newham Borough Council,E09000025,WCSC,,,
Newham Borough Council,E09000025,WCSD,,,
Newham Borough Council,E09000025,WCSE,,,
Newham Borough Council,E09000025,WFNA,,,
Newham Borough Council,E09000025,WFNB,,,
Newham Borough Council,E09000025,WFNC,,,
Newham Borough Council,E09000025,WFND,,,
Newham Borough Council,E09000025,WFSA,,,
Newham Borough Council,E09000025,WFSB,,,
Newham Borough Council,E09000025,WFSC,,,
Newham Borough Council,E09000025,WFSD,,,
Newham Borough Council,E09000025,WFSE,,,
Newham Borough Council,E09000025,WGWA,,,
Newham Borough Council,E09000025,WGWB,,,
Newham Borough Council,E09000025,WGWC,,,
Newham Borough Council,E09000025,WPNA,,,
Newham Borough Council,E09000025,WPNB,,,
Newham Borough Council,E09000025,WPNC,,,
Newham Borough Council,E09000025,WPND,,,
Newham Borough Council,E09000025,WPSA,,,
Newham Borough Council,E09000025,WPSB,,,
Newham Borough Council,E09000025,WPSC,,,
Newham Borough Council,E09000025,WSNA,,,
Newham Borough Council,E09000025,WSNB,,,
Newham Borough Council,E09000025,WSNC,,,
Newham Borough Council,E09000025,WSND,,,
Newham Borough Council,E09000025,WSNE,,,
Newham Borough Council,E09000025,WSNF,,,
Newham Borough Council,E09000025,WSNG,,,
Newham Borough Council,E09000025,WWHA,,,
Newham Borough Council,E09000025,WWHB,,,
Newham Borough Council,E09000025,WWHC,,,
Newham Borough Council,E09000025,WWHD,,,
