council_name,council_code,polling_district_id,address,postcode,source
Basingstoke and Deane Borough Council,E07000084,EA,,,
Basingstoke and Deane Borough Council,E07000084,EB,,,
Basingstoke and Deane Borough Council,E07000084,EC,,,
Basingstoke and Deane Borough Council,E07000084,ED,,,
Basingstoke and Deane Borough Council,E07000084,EE,,,
Basingstoke and Deane Borough Council,E07000084,EF,,,
Basingstoke and Deane Borough Council,E07000084,EG,,,
Basingstoke and Deane Borough Council,E07000084,EH,,,
Basingstoke and Deane Borough Council,E07000084,EI,,,
Basingstoke and Deane Borough Council,E07000084,EJ,,,
Basingstoke and Deane Borough Council,E07000084,EK,,,
Basingstoke and Deane Borough Council,E07000084,EL,,,
Basingstoke and Deane Borough Council,E07000084,EM,,,
Basingstoke and Deane Borough Council,E07000084,EN,,,
Basingstoke and Deane Borough Council,E07000084,EO,,,
Basingstoke and Deane Borough Council,E07000084,EP,,,
Basingstoke and Deane Borough Council,E07000084,EQ,,,
Basingstoke and Deane Borough Council,E07000084,ER,,,
Basingstoke and Deane Borough Council,E07000084,ES,,,
Basingstoke and Deane Borough Council,E07000084,ET,,,
Basingstoke and Deane Borough Council,E07000084,EU,,,
Basingstoke and Deane Borough Council,E07000084,EV,,,
Basingstoke and Deane Borough Council,E07000084,EW,,,
Basingstoke and Deane Borough Council,E07000084,EX,,,
Basingstoke and Deane Borough Council,E07000084,EY,,,
Basingstoke and Deane Borough Council,E07000084,EZ,,,
Basingstoke and Deane Borough Council,E07000084,FA,,,
Basingstoke and Deane Borough Council,E07000084,FB,,,
Basingstoke and Deane Borough Council,E07000084,FC,,,
Basingstoke and Deane Borough Council,E07000084,FD,,,
Basingstoke and Deane Borough Council,E07000084,FE,,,
Basingstoke and Deane Borough Council,E07000084,FF,,,
Basingstoke and Deane Borough Council,E07000084,FF1,,,
Basingstoke and Deane Borough Council,E07000084,FG,,,
Basingstoke and Deane Borough Council,E07000084,FH,,,
Basingstoke and Deane Borough Council,E07000084,FI,,,
Basingstoke and Deane Borough Council,E07000084,FJ,,,
