council_name,council_code,polling_district_id,address,postcode,source
New Forest District Council,E07000091,AC,,,
New Forest District Council,E07000091,BA,,,
New Forest District Council,E07000091,BC,,,
New Forest District Council,E07000091,BD,,,
New Forest District Council,E07000091,BE,,,
New Forest District Council,E07000091,BF,,,
New Forest District Council,E07000091,BG,,,
New Forest District Council,E07000091,BH,,,
New Forest District Council,E07000091,BI,,,
New Forest District Council,E07000091,BK,,,
New Forest District Council,E07000091,BL,,,
New Forest District Council,E07000091,BM,,,
New Forest District Council,E07000091,BR,,,
New Forest District Council,E07000091,BU,,,
New Forest District Council,E07000091,CN,,,
New Forest District Council,E07000091,CS,,,
New Forest District Council,E07000091,DA,,,
New Forest District Council,E07000091,DL,,,
New Forest District Council,E07000091,DM,,,
New Forest District Council,E07000091,DN,,,
New Forest District Council,E07000091,EB,,,
New Forest District Council,E07000091,EH,,,
New Forest District Council,E07000091,EX,,,
New Forest District Council,E07000091,FA,,,
New Forest District Council,E07000091,FB,,,
New Forest District Council,E07000091,FC,,,
New Forest District Council,E07000091,FD,,,
New Forest District Council,E07000091,FE,,,
New Forest District Council,E07000091,FF,,,
New Forest District Council,E07000091,FG,,,
New Forest District Council,E07000091,FI,,,
New Forest District Council,E07000091,FO,,,
New Forest District Council,E07000091,FP,,,
New Forest District Council,E07000091,GO,,,
New Forest District Council,E07000091,HA,,,
New Forest District Council,E07000091,HB,,,
New Forest District Council,E07000091,HC,,,
New Forest District Council,E07000091,HD,,,
New Forest District Council,E07000091,HE,,,
New Forest District Council,E07000091,HF,,,
New Forest District Council,E07000091,HG,,,
New Forest District Council,E07000091,HH,,,
New Forest District Council,E07000091,HI,,,
New Forest District Council,E07000091,HJ,,,
New Forest District Council,E07000091,HK1,,,
New Forest District Council,E07000091,HK2,,,
New Forest District Council,E07000091,HL,,,
New Forest District Council,E07000091,HM,,,
New Forest District Council,E07000091,HN,,,
New Forest District Council,E07000091,HO,,,
New Forest District Council,E07000091,HP,,,
New Forest District Council,E07000091,HY,,,
New Forest District Council,E07000091,LA,,,
New Forest District Council,E07000091,LB,,,
New Forest District Council,E07000091,LC,,,
New Forest District Council,E07000091,LD,,,
New Forest District Council,E07000091,LE,,,
New Forest District Council,E07000091,LF,,,
New Forest District Council,E07000091,LG,,,
New Forest District Council,E07000091,LH,,,
New Forest District Council,E07000091,LM,,,
New Forest District Council,E07000091,LN,,,
New Forest District Council,E07000091,MA,,,
New Forest District Council,E07000091,MB,,,
New Forest District Council,E07000091,MD,,,
New Forest District Council,E07000091,ME,,,
New Forest District Council,E07000091,MN,,,
New Forest District Council,E07000091,MR,,,
New Forest District Council,E07000091,NA,,,
New Forest District Council,E07000091,NB,,,
New Forest District Council,E07000091,NC,,,
New Forest District Council,E07000091,ND,,,
New Forest District Council,E07000091,NF,,,
New Forest District Council,E07000091,NG,,,
New Forest District Council,E07000091,NH,,,
New Forest District Council,E07000091,NI,,,
New Forest District Council,E07000091,NJ,,,
New Forest District Council,E07000091,NK,,,
New Forest District Council,E07000091,NL,,,
New Forest District Council,E07000091,NM,,,
New Forest District Council,E07000091,NO,,,
New Forest District Council,E07000091,NP,,,
New Forest District Council,E07000091,NQ,,,
New Forest District Council,E07000091,RA,,,
New Forest District Council,E07000091,RB,,,
New Forest District Council,E07000091,RC,,,
New Forest District Council,E07000091,RD,,,
New Forest District Council,E07000091,RE,,,
New Forest District Council,E07000091,RF,,,
New Forest District Council,E07000091,RH,,,
New Forest District Council,E07000091,RI,,,
New Forest District Council,E07000091,RK,,,
New Forest District Council,E07000091,SA,,,
New Forest District Council,E07000091,SO,,,
New Forest District Council,E07000091,SW,,,
New Forest District Council,E07000091,SX,,,
New Forest District Council,E07000091,TA,,,
New Forest District Council,E07000091,TB,,,
New Forest District Council,E07000091,TC,,,
New Forest District Council,E07000091,TD,,,
New Forest District Council,E07000091,TE,,,
New Forest District Council,E07000091,TG,,,
New Forest District Council,E07000091,TH,,,
New Forest District Council,E07000091,TI,,,
New Forest District Council,E07000091,TJ,,,
New Forest District Council,E07000091,TK,,,
New Forest District Council,E07000091,TL,,,
New Forest District Council,E07000091,TM,,,
New Forest District Council,E07000091,WH,,,
New Forest District Council,E07000091,WO,,,
