council_name,council_code,polling_district_id,address,postcode,source
Bromsgrove District Council,E07000234,ALA,,,
Bromsgrove District Council,E07000234,ALB,,,
Bromsgrove District Council,E07000234,ALC,,,
Bromsgrove District Council,E07000234,ALV,,,
Bromsgrove District Council,E07000234,ASA,,,
Bromsgrove District Council,E07000234,ASB,,,
Bromsgrove District Council,E07000234,AVA,,,
Bromsgrove District Council,E07000234,AVB,,,
Bromsgrove District Council,E07000234,BHA,,,
Bromsgrove District Council,E07000234,BHB,,,
Bromsgrove District Council,E07000234,BRA,,,
Bromsgrove District Council,E07000234,BRB,,,
Bromsgrove District Council,E07000234,BRC,,,
Bromsgrove District Council,E07000234,BRD,,,
Bromsgrove District Council,E07000234,BRE,,,
Bromsgrove District Council,E07000234,BRF,,,
Bromsgrove District Council,E07000234,BRG,,,
Bromsgrove District Council,E07000234,BVA,,,
Bromsgrove District Council,E07000234,BVB,,,
Bromsgrove District Council,E07000234,CAN,,,
Bromsgrove District Council,E07000234,CAS,,,
Bromsgrove District Council,E07000234,CAT,,,
Bromsgrove District Council,E07000234,CFA,,,
Bromsgrove District Council,E07000234,CFB,,,
Bromsgrove District Council,E07000234,COA,,,
Bromsgrove District Council,E07000234,COB,,,
Bromsgrove District Council,E07000234,DRA,,,
Bromsgrove District Council,E07000234,HAA,,,
Bromsgrove District Council,E07000234,HGA,,,
Bromsgrove District Council,E07000234,HGB,,,
Bromsgrove District Council,E07000234,HGC,,,
Bromsgrove District Council,E07000234,HTA,,,
Bromsgrove District Council,E07000234,HWA,,,
Bromsgrove District Council,E07000234,LHA,,,
Bromsgrove District Council,E07000234,LHB,,,
Bromsgrove District Council,E07000234,LHC,,,
Bromsgrove District Council,E07000234,LWA,,,
Bromsgrove District Council,E07000234,LWB,,,
Bromsgrove District Council,E07000234,LWC,,,
Bromsgrove District Council,E07000234,MAA,,,
Bromsgrove District Council,E07000234,MAB,,,
Bromsgrove District Council,E07000234,MAC,,,
Bromsgrove District Council,E07000234,MAD,,,
Bromsgrove District Council,E07000234,NTA,,,
Bromsgrove District Council,E07000234,NTB,,,
Bromsgrove District Council,E07000234,NTC,,,
Bromsgrove District Council,E07000234,NTD,,,
Bromsgrove District Council,E07000234,PFA,,,
Bromsgrove District Council,E07000234,PFB,,,
Bromsgrove District Council,E07000234,PFC,,,
Bromsgrove District Council,E07000234,RHA,,,
Bromsgrove District Council,E07000234,RHB,,,
Bromsgrove District Council,E07000234,RHC,,,
Bromsgrove District Council,E07000234,RNA,,,
Bromsgrove District Council,E07000234,RSA,,,
Bromsgrove District Council,E07000234,SAA,,,
Bromsgrove District Council,E07000234,SAB,,,
Bromsgrove District Council,E07000234,SAC,,,
Bromsgrove District Council,E07000234,SAD,,,
Bromsgrove District Council,E07000234,SMA,,,
Bromsgrove District Council,E07000234,SMB,,,
Bromsgrove District Council,E07000234,SSA,,,
Bromsgrove District Council,E07000234,SSB,,,
Bromsgrove District Council,E07000234,TAA,,,
Bromsgrove District Council,E07000234,TAB,,,
Bromsgrove District Council,E07000234,TAC,,,
Bromsgrove District Council,E07000234,TAD,,,
Bromsgrove District Council,E07000234,TAE,,,
Bromsgrove District Council,E07000234,WTA,,,
Bromsgrove District Council,E07000234,WTB,,,
Bromsgrove District Council,E07000234,WTC,,,
Bromsgrove District Council,E07000234,WWA,,,
Bromsgrove District Council,E07000234,WWB,,,
Bromsgrove District Council,E07000234,WWC,,,
