council_name,council_code,polling_district_id,address,postcode,source
Ribble Valley Borough Council,E07000124,CA,,,
Ribble Valley Borough Council,E07000124,CB,,,
Ribble Valley Borough Council,E07000124,CC,,,
Ribble Valley Borough Council,E07000124,CD,,,
Ribble Valley Borough Council,E07000124,CE,,,
Ribble Valley Borough Council,E07000124,CF,,,
Ribble Valley Borough Council,E07000124,CG,,,
Ribble Valley Borough Council,E07000124,CH1,,,
Ribble Valley Borough Council,E07000124,CH2,,,
Ribble Valley Borough Council,E07000124,CI,,,
Ribble Valley Borough Council,E07000124,CJ,,,
Ribble Valley Borough Council,E07000124,CK,,,
Ribble Valley Borough Council,E07000124,CL,,,
Ribble Valley Borough Council,E07000124,CM1,,,
Ribble Valley Borough Council,E07000124,CM2,,,
Ribble Valley Borough Council,E07000124,CM3,,,
Ribble Valley Borough Council,E07000124,CN,,,
Ribble Valley Borough Council,E07000124,CO,,,
Ribble Valley Borough Council,E07000124,CP1,,,
Ribble Valley Borough Council,E07000124,CP2,,,
Ribble Valley Borough Council,E07000124,CQ,,,
Ribble Valley Borough Council,E07000124,CR,,,
Ribble Valley Borough Council,E07000124,CS,,,
Ribble Valley Borough Council,E07000124,CT1,,,
Ribble Valley Borough Council,E07000124,CT2,,,
Ribble Valley Borough Council,E07000124,CU1,,,
Ribble Valley Borough Council,E07000124,CU2,,,
Ribble Valley Borough Council,E07000124,CV,,,
Ribble Valley Borough Council,E07000124,CW,,,
Ribble Valley Borough Council,E07000124,CX1,,,
Ribble Valley Borough Council,E07000124,CX2,,,
Ribble Valley Borough Council,E07000124,CY,,,
Ribble Valley Borough Council,E07000124,DA,,,
Ribble Valley Borough Council,E07000124,DB,,,
Ribble Valley Borough Council,E07000124,DC,,,
Ribble Valley Borough Council,E07000124,DD,,,
Ribble Valley Borough Council,E07000124,DE,,,
Ribble Valley Borough Council,E07000124,DF,,,
Ribble Valley Borough Council,E07000124,DG,,,
Ribble Valley Borough Council,E07000124,DH,,,
Ribble Valley Borough Council,E07000124,DI,,,
Ribble Valley Borough Council,E07000124,DJ,,,
Ribble Valley Borough Council,E07000124,DK,,,
Ribble Valley Borough Council,E07000124,SA,,,
Ribble Valley Borough Council,E07000124,SB,,,
Ribble Valley Borough Council,E07000124,SC,,,
Ribble Valley Borough Council,E07000124,SD,,,
Ribble Valley Borough Council,E07000124,SE,,,
Ribble Valley Borough Council,E07000124,SF,,,
Ribble Valley Borough Council,E07000124,SG,,,
Ribble Valley Borough Council,E07000124,SH,,,
Ribble Valley Borough Council,E07000124,SI1,,,
Ribble Valley Borough Council,E07000124,SI2,,,
Ribble Valley Borough Council,E07000124,SJ,,,
Ribble Valley Borough Council,E07000124,SK1,,,
Ribble Valley Borough Council,E07000124,SK2,,,
Ribble Valley Borough Council,E07000124,SL1,,,
Ribble Valley Borough Council,E07000124,SL2,,,
Ribble Valley Borough Council,E07000124,SM1,,,
Ribble Valley Borough Council,E07000124,SM2,,,
Ribble Valley Borough Council,E07000124,SN,,,
Ribble Valley Borough Council,E07000124,SO,,,
Ribble Valley Borough Council,E07000124,SP,,,
