council_name,council_code,polling_district_id,address,postcode,source
South Lakeland District Council,E07000031,AA,,,
South Lakeland District Council,E07000031,AB,,,
South Lakeland District Council,E07000031,AC,,,
South Lakeland District Council,E07000031,AD,,,
South Lakeland District Council,E07000031,AE,,,
South Lakeland District Council,E07000031,AF,,,
South Lakeland District Council,E07000031,AG,,,
South Lakeland District Council,E07000031,AH,,,
South Lakeland District Council,E07000031,AI,,,
South Lakeland District Council,E07000031,AJ,,,
South Lakeland District Council,E07000031,AK,,,
South Lakeland District Council,E07000031,AL,,,
South Lakeland District Council,E07000031,AN,,,
South Lakeland District Council,E07000031,AO,,,
South Lakeland District Council,E07000031,AP,,,
South Lakeland District Council,E07000031,AQ,,,
South Lakeland District Council,E07000031,AS,,,
South Lakeland District Council,E07000031,AT,,,
South Lakeland District Council,E07000031,AU,,,
South Lakeland District Council,E07000031,AV,,,
South Lakeland District Council,E07000031,AW,,,
South Lakeland District Council,E07000031,AX,,,
South Lakeland District Council,E07000031,AY,,,
South Lakeland District Council,E07000031,AZ,,,
South Lakeland District Council,E07000031,BA1,,,
South Lakeland District Council,E07000031,BA2,,,
South Lakeland District Council,E07000031,BA3,,,
South Lakeland District Council,E07000031,BB,,,
South Lakeland District Council,E07000031,BC,,,
South Lakeland District Council,E07000031,BD,,,
South Lakeland District Council,E07000031,BE,,,
South Lakeland District Council,E07000031,BF,,,
South Lakeland District Council,E07000031,BG,,,
South Lakeland District Council,E07000031,BH,,,
South Lakeland District Council,E07000031,BI,,,
South Lakeland District Council,E07000031,BJ,,,
South Lakeland District Council,E07000031,BK,,,
South Lakeland District Council,E07000031,BL,,,
South Lakeland District Council,E07000031,BM,,,
South Lakeland District Council,E07000031,BN,,,
South Lakeland District Council,E07000031,BO,,,
South Lakeland District Council,E07000031,BP,,,
South Lakeland District Council,E07000031,BQ,,,
South Lakeland District Council,E07000031,BR,,,
South Lakeland District Council,E07000031,BS,,,
South Lakeland District Council,E07000031,BT1,,,
South Lakeland District Council,E07000031,BT2,,,
South Lakeland District Council,E07000031,BU1,,,
South Lakeland District Council,E07000031,BU2,,,
South Lakeland District Council,E07000031,BV,,,
South Lakeland District Council,E07000031,BW,,,
South Lakeland District Council,E07000031,BX,,,
South Lakeland District Council,E07000031,BY,,,
South Lakeland District Council,E07000031,BZ,,,
South Lakeland District Council,E07000031,CA2,,,
South Lakeland District Council,E07000031,CB,,,
South Lakeland District Council,E07000031,CC,,,
South Lakeland District Council,E07000031,CD,,,
South Lakeland District Council,E07000031,CE,,,
South Lakeland District Council,E07000031,CF,,,
South Lakeland District Council,E07000031,CG,,,
South Lakeland District Council,E07000031,CH,,,
South Lakeland District Council,E07000031,CI,,,
South Lakeland District Council,E07000031,CJ,,,
South Lakeland District Council,E07000031,CK,,,
South Lakeland District Council,E07000031,CL,,,
South Lakeland District Council,E07000031,CM,,,
South Lakeland District Council,E07000031,CN,,,
South Lakeland District Council,E07000031,CO,,,
South Lakeland District Council,E07000031,CP,,,
South Lakeland District Council,E07000031,CQ,,,
South Lakeland District Council,E07000031,CR,,,
South Lakeland District Council,E07000031,CS,,,
South Lakeland District Council,E07000031,CT,,,
South Lakeland District Council,E07000031,CU,,,
South Lakeland District Council,E07000031,CV,,,
South Lakeland District Council,E07000031,CX,,,
South Lakeland District Council,E07000031,CY,,,
South Lakeland District Council,E07000031,CZ,,,
South Lakeland District Council,E07000031,DA,,,
South Lakeland District Council,E07000031,DB,,,
South Lakeland District Council,E07000031,DC,,,
South Lakeland District Council,E07000031,DD,,,
South Lakeland District Council,E07000031,DE,,,
South Lakeland District Council,E07000031,DF,,,
South Lakeland District Council,E07000031,DG,,,
South Lakeland District Council,E07000031,DH,,,
South Lakeland District Council,E07000031,DI,,,
South Lakeland District Council,E07000031,DJ,,,
South Lakeland District Council,E07000031,DK,,,
South Lakeland District Council,E07000031,DL,,,
South Lakeland District Council,E07000031,DM,,,
South Lakeland District Council,E07000031,DN,,,
South Lakeland District Council,E07000031,DO,,,
South Lakeland District Council,E07000031,N,,,
South Lakeland District Council,E07000031,O,,,
South Lakeland District Council,E07000031,P,,,
South Lakeland District Council,E07000031,Q,,,
South Lakeland District Council,E07000031,R,,,
South Lakeland District Council,E07000031,S,,,
South Lakeland District Council,E07000031,T,,,
South Lakeland District Council,E07000031,UC,,,
South Lakeland District Council,E07000031,UE,,,
South Lakeland District Council,E07000031,UG,,,
South Lakeland District Council,E07000031,UH,,,
South Lakeland District Council,E07000031,UI,,,
South Lakeland District Council,E07000031,UJ,,,
South Lakeland District Council,E07000031,V,,,
