council_name,council_code,polling_district_id,address,postcode,source
North Devon Council,E07000043,AA,,,
North Devon Council,E07000043,AB,,,
North Devon Council,E07000043,AC,,,
North Devon Council,E07000043,AD,,,
North Devon Council,E07000043,AE,,,
North Devon Council,E07000043,AF,,,
North Devon Council,E07000043,AG,,,
North Devon Council,E07000043,AH,,,
North Devon Council,E07000043,AI,,,
North Devon Council,E07000043,AI2,,,
North Devon Council,E07000043,AJ,,,
North Devon Council,E07000043,AK,,,
North Devon Council,E07000043,AL,,,
North Devon Council,E07000043,AM,,,
North Devon Council,E07000043,AN,,,
North Devon Council,E07000043,AO,,,
North Devon Council,E07000043,AP,,,
North Devon Council,E07000043,AQ,,,
North Devon Council,E07000043,AR,,,
North Devon Council,E07000043,AS,,,
North Devon Council,E07000043,AT,,,
North Devon Council,E07000043,AU,,,
North Devon Council,E07000043,AV,,,
North Devon Council,E07000043,AW,,,
North Devon Council,E07000043,AY,,,
North Devon Council,E07000043,AZ,,,
North Devon Council,E07000043,BA,,,
North Devon Council,E07000043,BB,,,
North Devon Council,E07000043,BC,,,
North Devon Council,E07000043,BD,,,
North Devon Council,E07000043,BE,,,
North Devon Council,E07000043,BF,,,
North Devon Council,E07000043,BG,,,
North Devon Council,E07000043,BH,,,
North Devon Council,E07000043,BI,,,
North Devon Council,E07000043,BJ,,,
North Devon Council,E07000043,BK,,,
North Devon Council,E07000043,BL,,,
North Devon Council,E07000043,BM,,,
North Devon Council,E07000043,BN,,,
North Devon Council,E07000043,BO,,,
North Devon Council,E07000043,BP,,,
North Devon Council,E07000043,BQ,,,
North Devon Council,E07000043,BR,,,
North Devon Council,E07000043,BS,,,
North Devon Council,E07000043,BT,,,
North Devon Council,E07000043,BU,,,
North Devon Council,E07000043,BV,,,
North Devon Council,E07000043,BW,,,
North Devon Council,E07000043,BX,,,
North Devon Council,E07000043,BY,,,
North Devon Council,E07000043,BZ,,,
North Devon Council,E07000043,CA,,,
North Devon Council,E07000043,CB,,,
North Devon Council,E07000043,CC,,,
North Devon Council,E07000043,CD,,,
North Devon Council,E07000043,CE,,,
North Devon Council,E07000043,CF,,,
North Devon Council,E07000043,CG,,,
North Devon Council,E07000043,CH,,,
North Devon Council,E07000043,CI,,,
North Devon Council,E07000043,CJ,,,
North Devon Council,E07000043,CK,,,
North Devon Council,E07000043,CL,,,
North Devon Council,E07000043,CM,,,
North Devon Council,E07000043,CN,,,
North Devon Council,E07000043,CO,,,
North Devon Council,E07000043,CP,,,
North Devon Council,E07000043,CQ,,,
North Devon Council,E07000043,CR,,,
North Devon Council,E07000043,CS,,,
North Devon Council,E07000043,CT,,,
North Devon Council,E07000043,CU,,,
North Devon Council,E07000043,CV,,,
North Devon Council,E07000043,CW,,,
North Devon Council,E07000043,CX,,,
North Devon Council,E07000043,CY,,,
North Devon Council,E07000043,CZ,,,
North Devon Council,E07000043,DA,,,
North Devon Council,E07000043,DB,,,
North Devon Council,E07000043,DC,,,
North Devon Council,E07000043,DD,,,
North Devon Council,E07000043,DE,,,
North Devon Council,E07000043,DF,,,
North Devon Council,E07000043,DG,,,
North Devon Council,E07000043,DH,,,
North Devon Council,E07000043,DI,,,
North Devon Council,E07000043,DJ,,,
North Devon Council,E07000043,DK,,,
North Devon Council,E07000043,DL,,,
North Devon Council,E07000043,DM,,,
North Devon Council,E07000043,DN,,,
North Devon Council,E07000043,DO,,,
North Devon Council,E07000043,DP,,,
North Devon Council,E07000043,DQ,,,
North Devon Council,E07000043,DR,,,
North Devon Council,E07000043,DS,,,
North Devon Council,E07000043,DT,,,
North Devon Council,E07000043,DU,,,
North Devon Council,E07000043,DV,,,
North Devon Council,E07000043,DW,,,
North Devon Council,E07000043,DX,,,
North Devon Council,E07000043,DY,,,
North Devon Council,E07000043,DZ,,,
North Devon Council,E07000043,EA,,,
North Devon Council,E07000043,EB,,,
North Devon Council,E07000043,EC,,,
North Devon Council,E07000043,ED,,,
North Devon Council,E07000043,EE,,,
North Devon Council,E07000043,EF,,,
North Devon Council,E07000043,EG,,,
