council_name,council_code,polling_district_id,address,postcode,source
East Devon District Council,E07000040,AA,,,
East Devon District Council,E07000040,AB,,,
East Devon District Council,E07000040,AC,,,
East Devon District Council,E07000040,AD,,,
East Devon District Council,E07000040,AE,,,
East Devon District Council,E07000040,AF,,,
East Devon District Council,E07000040,AG,,,
East Devon District Council,E07000040,AH,,,
East Devon District Council,E07000040,AI,,,
East Devon District Council,E07000040,AJ,,,
East Devon District Council,E07000040,AK1,,,
East Devon District Council,E07000040,AK2,,,
East Devon District Council,E07000040,AL1,,,
East Devon District Council,E07000040,AL2,,,
East Devon District Council,E07000040,AM1,,,
East Devon District Council,E07000040,AM2,,,
East Devon District Council,E07000040,AN1,,,
East Devon District Council,E07000040,AN2,,,
East Devon District Council,E07000040,AN3,,,
East Devon District Council,E07000040,AO1,,,
East Devon District Council,E07000040,AO2,,,
East Devon District Council,E07000040,AP1,,,
East Devon District Council,E07000040,AP2,,,
East Devon District Council,E07000040,AQ,,,
East Devon District Council,E07000040,AR,,,
East Devon District Council,E07000040,AS,,,
East Devon District Council,E07000040,AT,,,
East Devon District Council,E07000040,AU,,,
East Devon District Council,E07000040,AV,,,
East Devon District Council,E07000040,AW,,,
East Devon District Council,E07000040,AX,,,
East Devon District Council,E07000040,AY,,,
East Devon District Council,E07000040,AZ,,,
East Devon District Council,E07000040,BA,,,
East Devon District Council,E07000040,BB,,,
East Devon District Council,E07000040,BC,,,
East Devon District Council,E07000040,BD,,,
East Devon District Council,E07000040,BE,,,
East Devon District Council,E07000040,BF,,,
East Devon District Council,E07000040,BG,,,
East Devon District Council,E07000040,BH,,,
East Devon District Council,E07000040,BI,,,
East Devon District Council,E07000040,BJ,,,
East Devon District Council,E07000040,BK,,,
East Devon District Council,E07000040,BL,,,
East Devon District Council,E07000040,BM,,,
East Devon District Council,E07000040,BN,,,
East Devon District Council,E07000040,BO,,,
East Devon District Council,E07000040,BP,,,
East Devon District Council,E07000040,BQ,,,
East Devon District Council,E07000040,MA,,,
East Devon District Council,E07000040,MB,,,
East Devon District Council,E07000040,MC,,,
East Devon District Council,E07000040,MD,,,
East Devon District Council,E07000040,ME,,,
East Devon District Council,E07000040,MF,,,
East Devon District Council,E07000040,TA,,,
East Devon District Council,E07000040,TB,,,
East Devon District Council,E07000040,TC,,,
East Devon District Council,E07000040,TD,,,
East Devon District Council,E07000040,TE,,,
East Devon District Council,E07000040,TF,,,
East Devon District Council,E07000040,TG,,,
East Devon District Council,E07000040,TH,,,
East Devon District Council,E07000040,TI,,,
East Devon District Council,E07000040,TJ,,,
East Devon District Council,E07000040,TK,,,
East Devon District Council,E07000040,TL,,,
East Devon District Council,E07000040,TM,,,
East Devon District Council,E07000040,TN,,,
East Devon District Council,E07000040,TO,,,
East Devon District Council,E07000040,TP,,,
East Devon District Council,E07000040,TQ,,,
East Devon District Council,E07000040,TR,,,
East Devon District Council,E07000040,TS,,,
East Devon District Council,E07000040,TT,,,
East Devon District Council,E07000040,TU,,,
East Devon District Council,E07000040,TV,,,
East Devon District Council,E07000040,TW,,,
East Devon District Council,E07000040,TX1,,,
East Devon District Council,E07000040,TX2,,,
East Devon District Council,E07000040,TY,,,
East Devon District Council,E07000040,TZ,,,
East Devon District Council,E07000040,UA,,,
East Devon District Council,E07000040,UB,,,
East Devon District Council,E07000040,UC,,,
East Devon District Council,E07000040,UD,,,
East Devon District Council,E07000040,UE,,,
East Devon District Council,E07000040,UF,,,
East Devon District Council,E07000040,UG,,,
East Devon District Council,E07000040,UH,,,
East Devon District Council,E07000040,UI,,,
East Devon District Council,E07000040,UJ,,,
East Devon District Council,E07000040,UK,,,
East Devon District Council,E07000040,UL,,,
East Devon District Council,E07000040,UM,,,
East Devon District Council,E07000040,UN,,,
East Devon District Council,E07000040,UO,,,
East Devon District Council,E07000040,UP,,,
East Devon District Council,E07000040,UQ,,,
