council_name,council_code,polling_district_id,address,postcode,source
Gloucester City Council,E07000081,A1,,,
Gloucester City Council,E07000081,A2,,,
Gloucester City Council,E07000081,A3,,,
Gloucester City Council,E07000081,A4,,,
Gloucester City Council,E07000081,A5,,,
Gloucester City Council,E07000081,A5A,,,
Gloucester City Council,E07000081,B1,,,
Gloucester City Council,E07000081,B2,,,
Gloucester City Council,E07000081,B3,,,
Gloucester City Council,E07000081,B4,,,
Gloucester City Council,E07000081,B5,,,
Gloucester City Council,E07000081,B5A,,,
Gloucester City Council,E07000081,B5B,,,
Gloucester City Council,E07000081,C1,,,
Gloucester City Council,E07000081,C2,,,
Gloucester City Council,E07000081,C3,,,
Gloucester City Council,E07000081,C4,,,
Gloucester City Council,E07000081,C5,,,
Gloucester City Council,E07000081,D1,,,
Gloucester City Council,E07000081,D2,,,
Gloucester City Council,E07000081,D3,,,
Gloucester City Council,E07000081,D4,,,
Gloucester City Council,E07000081,E1,,,
Gloucester City Council,E07000081,E2,,,
Gloucester City Council,E07000081,E3,,,
Gloucester City Council,E07000081,E4,,,
Gloucester City Council,E07000081,F1,,,
Gloucester City Council,E07000081,F2,,,
Gloucester City Council,E07000081,F3,,,
Gloucester City Council,E07000081,F4,,,
Gloucester City Council,E07000081,F5,,,
Gloucester City Council,E07000081,F6,,,
Gloucester City Council,E07000081,G1,,,
Gloucester City Council,E07000081,G2,,,
Gloucester City Council,E07000081,G3,,,
Gloucester City Council,E07000081,G4,,,
Gloucester City Council,E07000081,H1,,,
Gloucester City Council,E07000081,H2,,,
Gloucester City Council,E07000081,H3,,,
Gloucester City Council,E07000081,H4,,,
Gloucester City Council,E07000081,H5,,,
Gloucester City Council,E07000081,H6,,,
Gloucester City Council,E07000081,J1,,,
Gloucester City Council,E07000081,J1A,,,
Gloucester City Council,E07000081,J2,,,
Gloucester City Council,E07000081,J2A,,,
Gloucester City Council,E07000081,J3,,,
Gloucester City Council,E07000081,J3A,,,
Gloucester City Council,E07000081,J3B,,,
Gloucester City Council,E07000081,J4,,,
Gloucester City Council,E07000081,J5,,,
Gloucester City Council,E07000081,J5A,,,
Gloucester City Council,E07000081,J6,,,
Gloucester City Council,E07000081,K1,,,
Gloucester City Council,E07000081,K2,,,
Gloucester City Council,E07000081,L1,,,
Gloucester City Council,E07000081,L2,,,
Gloucester City Council,E07000081,L2A,,,
Gloucester City Council,E07000081,L3,,,
Gloucester City Council,E07000081,L3A,,,
Gloucester City Council,E07000081,M1,,,
Gloucester City Council,E07000081,M1A,,,
Gloucester City Council,E07000081,M2,,,
Gloucester City Council,E07000081,M3,,,
Gloucester City Council,E07000081,M4,,,
Gloucester City Council,E07000081,N1,,,
Gloucester City Council,E07000081,N2,,,
Gloucester City Council,E07000081,N3,,,
Gloucester City Council,E07000081,N4,,,
Gloucester City Council,E07000081,N5,,,
Gloucester City Council,E07000081,P1,,,
Gloucester City Council,E07000081,P2,,,
Gloucester City Council,E07000081,P3,,,
Gloucester City Council,E07000081,P4,,,
Gloucester City Council,E07000081,Q1,,,
Gloucester City Council,E07000081,Q2,,,
Gloucester City Council,E07000081,Q2A,,,
Gloucester City Council,E07000081,Q3,,,
