council_name,council_code,polling_district_id,address,postcode,source
Kirklees Borough Council,E08000034,AB01,,,
Kirklees Borough Council,E08000034,AB02,,,
Kirklees Borough Council,E08000034,AB03,,,
Kirklees Borough Council,E08000034,AB04,,,
Kirklees Borough Council,E08000034,AB05,,,
Kirklees Borough Council,E08000034,AB06,,,
Kirklees Borough Council,E08000034,AL01,,,
Kirklees Borough Council,E08000034,AL02,,,
Kirklees Borough Council,E08000034,AL03,,,
Kirklees Borough Council,E08000034,AL04,,,
Kirklees Borough Council,E08000034,AL05,,,
Kirklees Borough Council,E08000034,AL06,,,
Kirklees Borough Council,E08000034,AL07,,,
Kirklees Borough Council,E08000034,AL08,,,
Kirklees Borough Council,E08000034,BB01,,,
Kirklees Borough Council,E08000034,BB02,,,
Kirklees Borough Council,E08000034,BB03,,,
Kirklees Borough Council,E08000034,BB04,,,
Kirklees Borough Council,E08000034,BB05,,,
Kirklees Borough Council,E08000034,BB06,,,
Kirklees Borough Council,E08000034,BB07,,,
Kirklees Borough Council,E08000034,BE01,,,
Kirklees Borough Council,E08000034,BE02,,,
Kirklees Borough Council,E08000034,BE03,,,
Kirklees Borough Council,E08000034,BE04,,,
Kirklees Borough Council,E08000034,BE05,,,
Kirklees Borough Council,E08000034,BE06,,,
Kirklees Borough Council,E08000034,BE07,,,
Kirklees Borough Council,E08000034,BE08,,,
Kirklees Borough Council,E08000034,BE09,,,
Kirklees Borough Council,E08000034,BE10,,,
Kirklees Borough Council,E08000034,BW01,,,
Kirklees Borough Council,E08000034,BW02,,,
Kirklees Borough Council,E08000034,BW03,,,
Kirklees Borough Council,E08000034,BW04,,,
Kirklees Borough Council,E08000034,BW05,,,
Kirklees Borough Council,E08000034,BW06,,,
Kirklees Borough Council,E08000034,CL01,,,
Kirklees Borough Council,E08000034,CL02,,,
Kirklees Borough Council,E08000034,CL03,,,
Kirklees Borough Council,E08000034,CL04,,,
Kirklees Borough Council,E08000034,CL05,,,
Kirklees Borough Council,E08000034,CL06,,,
Kirklees Borough Council,E08000034,CL07,,,
Kirklees Borough Council,E08000034,CL08,,,
Kirklees Borough Council,E08000034,CL09,,,
Kirklees Borough Council,E08000034,CL10,,,
Kirklees Borough Council,E08000034,CN01,,,
Kirklees Borough Council,E08000034,CN02,,,
Kirklees Borough Council,E08000034,CN03,,,
Kirklees Borough Council,E08000034,CN04,,,
Kirklees Borough Council,E08000034,CN05,,,
Kirklees Borough Council,E08000034,CN06,,,
Kirklees Borough Council,E08000034,CN07,,,
Kirklees Borough Council,E08000034,CV01,,,
Kirklees Borough Council,E08000034,CV02,,,
Kirklees Borough Council,E08000034,CV03,,,
Kirklees Borough Council,E08000034,CV04,,,
Kirklees Borough Council,E08000034,CV05,,,
Kirklees Borough Council,E08000034,CV06,,,
Kirklees Borough Council,E08000034,CV07,,,
Kirklees Borough Council,E08000034,CV08,,,
Kirklees Borough Council,E08000034,CV09,,,
Kirklees Borough Council,E08000034,DA01,,,
Kirklees Borough Council,E08000034,DA02,,,
