council_name,council_code,polling_district_id,address,postcode,source
Blaby District Council,E07000129,A,,,
Blaby District Council,E07000129,AA,,,
Blaby District Council,E07000129,AB,,,
Blaby District Council,E07000129,AC,,,
Blaby District Council,E07000129,AD,,,
Blaby District Council,E07000129,AE,,,
Blaby District Council,E07000129,AF1,,,
Blaby District Council,E07000129,AF2,,,
Blaby District Council,E07000129,AF3,,,
Blaby District Council,E07000129,AG,,,
Blaby District Council,E07000129,AH1,,,
Blaby District Council,E07000129,AH2,,,
Blaby District Council,E07000129,AI,,,
Blaby District Council,E07000129,AJ,,,
Blaby District Council,E07000129,AK,,,
Blaby District Council,E07000129,B,,,
Blaby District Council,E07000129,C,,,
Blaby District Council,E07000129,D,,,
Blaby District Council,E07000129,DJ,,,
Blaby District Council,E07000129,DK,,,
Blaby District Council,E07000129,DL,,,
Blaby District Council,E07000129,DM,,,
Blaby District Council,E07000129,DN,,,
Blaby District Council,E07000129,DO,,,
Blaby District Council,E07000129,DP,,,
Blaby District Council,E07000129,DQ,,,
Blaby District Council,E07000129,DR,,,
Blaby District Council,E07000129,DS,,,
Blaby District Council,E07000129,DT,,,
Blaby District Council,E07000129,E,,,
Blaby District Council,E07000129,F,,,
Blaby District Council,E07000129,G,,,
Blaby District Council,E07000129,H,,,
Blaby District Council,E07000129,I,,,
Blaby District Council,E07000129,J,,,
Blaby District Council,E07000129,K,,,
Blaby District Council,E07000129,L,,,
Blaby District Council,E07000129,M,,,
Blaby District Council,E07000129,N,,,
Blaby District Council,E07000129,O,,,
Blaby District Council,E07000129,P,,,
Blaby District Council,E07000129,Q1,,,
Blaby District Council,E07000129,Q2,,,
Blaby District Council,E07000129,R,,,
Blaby District Council,E07000129,S,,,
Blaby District Council,E07000129,T1,,,
Blaby District Council,E07000129,T2,,,
Blaby District Council,E07000129,U,,,
Blaby District Council,E07000129,V,,,
Blaby District Council,E07000129,W,,,
Blaby District Council,E07000129,X,,,
Blaby District Council,E07000129,Y,,,
Blaby District Council,E07000129,Z,,,
