council_name,council_code,polling_district_id,address,postcode,source
Weymouth and Portland Borough Council,E07000053,PA1,,,
Weymouth and Portland Borough Council,E07000053,PA2,,,
Weymouth and Portland Borough Council,E07000053,PB,,,
Weymouth and Portland Borough Council,E07000053,PC,,,
Weymouth and Portland Borough Council,E07000053,PD,,,
Weymouth and Portland Borough Council,E07000053,PE1,,,
Weymouth and Portland Borough Council,E07000053,PE2,,,
Weymouth and Portland Borough Council,E07000053,PF,,,
Weymouth and Portland Borough Council,E07000053,WA,,,
Weymouth and Portland Borough Council,E07000053,WB,,,
Weymouth and Portland Borough Council,E07000053,WC,,,
Weymouth and Portland Borough Council,E07000053,WD,,,
Weymouth and Portland Borough Council,E07000053,WDA,,,
Weymouth and Portland Borough Council,E07000053,WE,,,
Weymouth and Portland Borough Council,E07000053,WF1,,,
Weymouth and Portland Borough Council,E07000053,WF2,,,
Weymouth and Portland Borough Council,E07000053,WG,,,
Weymouth and Portland Borough Council,E07000053,WH,,,
Weymouth and Portland Borough Council,E07000053,WI1,,,
Weymouth and Portland Borough Council,E07000053,WI2,,,
Weymouth and Portland Borough Council,E07000053,WJ,,,
Weymouth and Portland Borough Council,E07000053,WK,,,
Weymouth and Portland Borough Council,E07000053,WL,,,
Weymouth and Portland Borough Council,E07000053,WM,,,
Weymouth and Portland Borough Council,E07000053,WN,,,
Weymouth and Portland Borough Council,E07000053,WO,,,
Weymouth and Portland Borough Council,E07000053,WOA,,,
Weymouth and Portland Borough Council,E07000053,WP,,,
Weymouth and Portland Borough Council,E07000053,WQ,,,
Weymouth and Portland Borough Council,E07000053,WR,,,
Weymouth and Portland Borough Council,E07000053,WS,,,
Weymouth and Portland Borough Council,E07000053,WT1,,,
Weymouth and Portland Borough Council,E07000053,WT2,,,
Weymouth and Portland Borough Council,E07000053,WU,,,
Weymouth and Portland Borough Council,E07000053,WV,,,
Weymouth and Portland Borough Council,E07000053,WW,,,
Weymouth and Portland Borough Council,E07000053,WX,,,
Weymouth and Portland Borough Council,E07000053,WY,,,
