"Polling_District","UPRN"
"AA0",64020639
"AA0",64020640
"AA0",64020641
"AA0",64020642
"AA0",64020643
"AA0",64020644
"AA0",64020645
"AA0",64020646
"AA0",64020647
"AA0",64020648
"AA0",64020649
"AA0",64020650
"AA0",64020651
"AA0",64020652
"AA0",64020653
"AA0",64020654
"AA0",64020655
"AA0",64020656
"AA0",64020657
"AA0",64020658
"AA0",64020659
"AA0",64020660
"AA0",64020661
"AA0",64020662
"AA0",64020663
"AA0",64020666
"AA0",64020667
"AA0",64020668
"AA0",64020669
"AA0",64020670
"AA0",64020671
"AA0",64020672
"AA0",64020673
"AA0",64020674
"AA0",64020675
"AA0",64020676
"AA0",64020677
"AA0",64020678
"AA0",64020679
"AA0",64020680
"AA0",64020681
"AA0",64020682
"AA0",64020683
"AA0",64020684
"AA0",64020685
"AA0",64020686
"AA0",64020687
"AA0",64020688
"AA0",64020689
"AA0",64020690
"AA0",64020691
"AA0",64020692
"AA0",64020693
"AA0",64020694
"AA0",64020695
"AA0",64020696
"AA0",64020697
"AA0",64020698
"AA0",64020699
"AA0",64020700
"AA0",64020701
"AA0",64020702
"AA0",64020703
"AA0",64020704
"AA0",64020705
"AA0",64020706
"AA0",64020707
"AA0",64020708
"AA0",64020709
"AA0",64020710
"AA0",64020711
"AA0",64020712
"AA0",64020713
"AA0",64020714
"AA0",64020715
"AA0",64020716
"AA0",64020717
"AA0",64020718
"AA0",64020719
"AA0",64020720
"AA0",64020721
"AA0",64020722
"AA0",64020723
"AA0",64020724
"AA0",64020725
"AA0",64020726
"AA0",64020727
"AA0",64020728
"AA0",64020729
"AA0",64020730
"AA0",64020731
"AA0",64020732
"AA0",64020733
"AA0",64020734
"AA0",64020735
"AA0",64020736
"AA0",64020737
"AA0",64020738
"AA0",64020739
"AA0",64020740
"AA0",64020741
"AA0",64020742
"AA0",64020743
"AA0",64020744
"AA0",64020755
"AA0",64020756
"AA0",64020757
"AA0",64020758
"AA0",64020759
"AA0",64020760
"AA0",64020761
"AA0",64020762
"AA0",64020763
"AA0",64020764
"AA0",64020765
"AA0",64020766
"AA0",64020767
"AA0",64020768
"AA0",64020769
"AA0",64020770
"AA0",64020771
"AA0",64020772
"AA0",64020773
"AA0",64020774
"AA0",64020775
"AA0",64020776
"AA0",64020777
"AA0",64020778
"AA0",64020779
"AA0",64020780
"AA0",64020781
"AA0",64020782
"AA0",64020783
"AA0",64020784
"AA0",64020785
"AA0",64020786
"AA0",64020787
"AA0",64020788
"AA0",64020789
"AA0",64020790
"AA0",64020791
"AA0",64020792
"AA0",64020793
"AA0",64020794
"AA0",64020795
"AA0",64020796
"AA0",64020797
"AA0",64020798
"AA0",64020799
"AA0",64020800
"AA0",64020801
"AA0",64020802
"AA0",64020803
"AA0",64020804
"AA0",64020805
"AA0",64020806
"AA0",64020807
"AA0",64020808
"AA0",64020809
"AA0",64020810
"AA0",64020811
"AA0",64020812
"AA0",64020813
"AA0",64020814
"AA0",64020815
"AA0",64020816
"AA0",64020817
"AA0",64020818
"AA0",64020819
"AA0",64020820
"AA0",64020821
"AA0",64020822
"AA0",64020823
"AA0",64020824
"AA0",64020825
"AA0",64020826
"AA0",64020827
"AA0",64020828
"AA0",64020829
"AA0",64020830
"AA0",64020831
"AA0",64020832
"AA0",64021539
"AA0",64021540
"AA0",64022711
"AA0",64022712
"AA0",64022713
"AA0",64022714
"AA0",64022715
"AA0",64022716
"AA0",64022717
"AA0",64022718
"AA0",64022719
"AA0",64022720
"AA0",64022721
"AA0",64022722
"AA0",64022723
"AA0",64022724
"AA0",64022725
"AA0",64022726
"AA0",64022727
"AA0",64022728
"AA0",64022729
"AA0",64022730
"AA0",64022731
"AA0",64022732
"AA0",64022733
"AA0",64022734
"AA0",64022735
"AA0",64022736
"AA0",64022737
"AA0",64022738
"AA0",64022739
"AA0",64022740
"AA0",64022741
"AA0",64022742
"AA0",64022743
"AA0",64022744
"AA0",64022745
"AA0",64022746
"AA0",64022747
"AA0",64022748
"AA0",64022749
"AA0",64022760
"AA0",64022761
"AA0",64022838
"AA0",64022849
"AA0",64022853
"AA0",64022885
"AA0",64022887
"AA0",64022889
"AA0",64022891
"AA0",64022893
"AA0",64022895
"AA0",64022898
"AA0",64022900
"AA0",64022902
"AA0",64022903
"AA0",64022904
"AA0",64022905
"AA0",64022906
"AA0",64022907
"AA0",64022908
"AA0",64022909
"AA0",64022910
"AA0",64022911
"AA0",64022912
"AA0",64022913
"AA0",64022914
"AA0",64022915
"AA0",64022916
"AA0",64022917
"AA0",64022919
"AA0",64022920
"AA0",64022921
"AA0",64022922
"AA0",64022923
"AA0",64022924
"AA0",64022925
"AA0",64022926
"AA0",64022928
"AA0",64022930
"AA0",64022932
"AA0",64022934
"AA0",64022936
"AA0",64022938
"AA0",64022940
"AA0",64022942
"AA0",64022943
"AA0",64022944
"AA0",64022945
"AA0",64022946
"AA0",64022947
"AA0",64022948
"AA0",64022949
"AA0",64022950
"AA0",64022951
"AA0",64022952
"AA0",64022953
"AA0",64022954
"AA0",64022955
"AA0",64022956
"AA0",64022957
"AA0",64022958
"AA0",64022959
"AA0",64022960
"AA0",64022961
"AA0",64022962
"AA0",64022963
"AA0",64022964
"AA0",64022965
"AA0",64022966
"AA0",64022967
"AA0",64023006
"AA0",64023007
"AA0",64023008
"AA0",64023009
"AA0",64023010
"AA0",64023011
"AA0",64023012
"AA0",64023013
"AA0",64023014
"AA0",64023015
"AA0",64023016
"AA0",64023017
"AA0",64023018
"AA0",64023019
"AA0",64023020
"AA0",64023021
"AA0",64023022
"AA0",64023023
"AA0",64023280
"AA0",64023312
"AA0",64023313
"AA0",64023314
"AA0",64023315
"AA0",64023316
"AA0",64023318
"AA0",64023319
"AA0",64023320
"AA0",64023324
"AA0",64023325
"AA0",64023326
"AA0",64023330
"AA0",64023339
"AA0",64023351
"AA0",64023353
"AA0",64023354
"AA0",64023355
"AA0",64023369
"AA0",64023371
"AA0",64023372
"AA0",64023375
"AA0",64104261
"AA0",64106039
"AA0",64106040
"AA0",64106041
"AA0",64106042
"AA0",64106043
"AA0",64106044
"AA0",64107116
"AA0",64107926
"AA0",64108002
"AA0",100100813581
"AA0",100100813582
"AA0",100100813583
"AA0",100100813584
"AA0",100100813585
"AA0",100100813586
"AA0",100100813587
"AA0",100100813588
"AA0",100100813589
"AA0",100100813590
"AA0",100100813591
"AA0",100100813592
"AA0",100100813593
"AA0",100100813594
"AA0",100100813595
"AA0",100100815816
"AA0",100100815818
"AA0",100100815820
"AA0",100100815822
"AA0",100100815824
"AA0",100100815826
"AA0",100100815828
"AA0",100100815830
"AA0",100100815832
"AA0",100100815833
"AA0",100100815834
"AA0",100100820716
"AA0",100100820717
"AA0",100100820725
"AA0",100100822526
"AA0",100100822527
"AA0",100100822528
"AA0",100100822529
"AA0",100100822530
"AA0",100100822531
"AA0",100100822532
"AA0",100100822534
"AA0",100100822535
"AA0",100100822536
"AA0",100100822537
"AA0",100100822538
"AA0",100100822539
"AA0",100100822540
"AA0",100100822541
"AA0",100100822542
"AA0",100100822543
"AA0",100100822544
"AA0",100100822545
"AA0",100100822546
"AA0",100100822547
"AA0",100100822548
"AA0",100100822549
"AA0",100100822550
"AA0",100100822551
"AA0",100100822552
"AA0",100100822553
"AA0",100100822554
"AA0",100100822555
"AA0",100100822556
"AA0",100100822557
"AA0",100100822558
"AA0",100100822559
"AA0",100100822560
"AA0",100100822561
"AA0",100100822562
"AA0",100100822563
"AA0",100100822564
"AA0",100100822565
