FID,OBJECTID,POLLING_DISTRICT,ID,NAME,UPRN,EASTING,NORTHING,LATITUDE,LONGITUDE,SHAPE
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5040,65,EBF,EBF,St Patricks Memorial Hall,009059085002,341032,731282,56.46995943,-2.9587254,POINT (341033.687 731282.855699999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-503f,66,EBG,EBG,7th Day Adventist Church,009059025562,341934,732042,56.47689852,-2.9442566,POINT (341934 732042)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-503e,67,EAM,EAM,Claypotts Castle PS,009059095131,344670,731975,56.47662652,-2.89983195,POINT (344667.701 731962.275)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-503d,68,WAN,WAN,Craigowl PS,009059095127,337704,734176,56.49552609,-3.01342649,POINT (337695.865 734173.194)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-503c,69,WBC,WBC,Marryat Hall,009059036563,340379,730150,56.4597087,-2.96906361,POINT (340379.7451 730150.5404)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-503b,70,WBK,WBK,St. Peters Free Church Hall,009059053832,339021,729790,56.45630096,-2.99101178,POINT (339023.44 729787.016000001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-503a,71,EAA,EAA,Longhaugh Nursery,009059036588,342768,733711,56.49199302,-2.93108649,POINT (342769.28 733710.768999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5039,72,EWA,EWA,Our Lady's PS,009059062539,340458,731113,56.46836906,-2.96800199,POINT (340460.3932 731111.318700001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5038,73,EWB,EWB,Maxwelltown Info Centre,009059099378,340240,731290,56.46993135,-2.9715803,POINT (340239.9195 731289.2509)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5037,74,EWC,EWC,Moncur Crescent Sheltered Housing,009059067527,339791,731808,56.47452713,-2.97898671,POINT (339790.6031 731804.428099999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5036,75,EWE,EWE,Fleming Gardens Communal Lounge,009059068079,340273,732018,56.47647495,-2.97121176,POINT (340273.601 732016.531300001)
