POLLING_STATION_ID,UPRN,Easting,Northing,Address1,Address2,Address3,Address4,Postcode,latitude,longitude,x_coordinate,y_coordinate
1034,49076501,259669,270537,NEUADD SANTES URSULA,C1103 FROM THE JUNCTION OF THE U1208 TO LLANGWYRYFON,LLANGWYRYFON,CEREDIGION,SY23 4HA,52.314972,-4.0600969,259669.24,270537.74
1035,49066491,253719,269422,MEMORIAL HALL,A487T LLANRHYSTUD VILLAGE,LLANRHYSTUD,CEREDIGION,SY23 5DB,52.3034012,-4.1468319,253719.46,269422.75
1036,49066491,253719,269422,MEMORIAL HALL,A487T LLANRHYSTUD VILLAGE,LLANRHYSTUD,CEREDIGION,SY23 5DB,52.3034012,-4.1468319,253719.46,269422.75
1037,49066491,253719,269422,MEMORIAL HALL,A487T LLANRHYSTUD VILLAGE,LLANRHYSTUD,CEREDIGION,SY23 5DB,52.3034012,-4.1468319,253719.46,269422.75
1038,49044041,264097,267648,CHAPEL HOUSE,U1267 FROM A JUNCTION OF THE A485 TO A FORK IN THE ROAD,BRONANT,CEREDIGION,SY23 4TG,52.2901225,-3.9940169,264097,267648
1039,49070220,263119,264279,PENTRE BACH,U1269 FROM THE JUNCTION OF THE C1002 TO THE END OF THE ROAD,BLAENPENNAL,CEREDIGION,SY23 4TW,52.2596127,-4.0069691,263119.68,264279.32
1040,49070553,270367,267672,YSTRAD MEURIG COMMUNITY HALL,B4340 YSTRAD MEURIG,YSTRAD MEURIG,CEREDIGION,SY25 6AA,52.2918589,-3.9021413,270367.69,267672.5
1041,49070553,270367,267672,YSTRAD MEURIG COMMUNITY HALL,B4340 YSTRAD MEURIG,YSTRAD MEURIG,CEREDIGION,SY25 6AA,52.2918589,-3.9021413,270367.69,267672.5
1042,49071127,272946,266707,PAFILIWN BONT,BRIDGE STREET,PONTRHYDFENDIGAID,CEREDIGION,SY25 6BB,52.2837929,-3.8639912,272946.25,266707.78
1043,49071127,272946,266707,PAFILIWN BONT,BRIDGE STREET,PONTRHYDFENDIGAID,CEREDIGION,SY25 6BB,52.2837929,-3.8639912,272946.25,266707.78
1044,49070855,268086,259711,MEMORIAL HALL,THE SQUARE,TREGARON,CEREDIGION,SY25 6JL,52.2197791,-3.9324648,268086,259711
1045,49070864,261986,259730,JUBILEE HALL,B4342A LLANGEITHO,LLANGEITHO,CEREDIGION,SY25 6TW,52.2184552,-4.0216964,261986.94,259730.06
1046,49070864,261986,259730,JUBILEE HALL,B4342A LLANGEITHO,LLANGEITHO,CEREDIGION,SY25 6TW,52.2184552,-4.0216964,261986.94,259730.06
1047,49070864,261986,259730,JUBILEE HALL,B4342A LLANGEITHO,LLANGEITHO,CEREDIGION,SY25 6TW,52.2184552,-4.0216964,261986.94,259730.06
1048,49065875,257966,258778,BWLCHLLAN CM CHAPEL,B4576 BWLCHLLAN,BWLCHLLAN,CEREDIGION,SA48 8QQ,52.2088844,-4.080114,257966.11,258778.62
1050,49065875,257966,258778,BWLCHLLAN CM CHAPEL,B4576 BWLCHLLAN,BWLCHLLAN,CEREDIGION,SA48 8QQ,52.2088844,-4.080114,257966.11,258778.62
1051,49066529,251519,267141,VILLAGE HALL,STRYD Y NEUADD,LLANON,CEREDIGION,SY23 5HW,52.2823163,-4.1780673,251519.47,267141.51
1052,49040170,254403,264049,YR HEN YSGOL,B4337 CROSS INN,CROSS INN,CEREDIGION,SY23 5NE,52.2553059,-4.1344795,254403.91,264049.15
1053,49070862,247775,263829,ABERARTH HALL,U1552 CAPEL BETHEL ROAD FROM WATER STREET TO U/C ROAD,ABERARTH,CEREDIGION,SA46 0LX,52.2515382,-4.2314185,247775.12,263829.53
1054,49012152,245983,262543,MEMORIAL HALL,SOUTH ROAD,ABERAERON,CEREDIGION,SA46 0DP,52.2394819,-4.2570633,245983,262543
1055,49070865,244299,259687,LLWYNCELYN MEMORIAL HALL,A487T LLWYNCELYN VILLAGE,LLWYNCELYN,CEREDIGION,SA46 0HF,52.2133564,-4.280379,244299.78,259687.52
1056,49070366,238757,259733,MEMORIAL HALL,TOWYN ROAD,NEW QUAY,CEREDIGION,SA45 9QQ,52.2121732,-4.3614485,238757.53,259733.27
1057,49070366,238757,259733,MEMORIAL HALL,TOWYN ROAD,NEW QUAY,CEREDIGION,SA45 9QQ,52.2121732,-4.3614485,238757.53,259733.27
1058,49070894,242090,257508,CHURCH HALL,ALLT Y BRYN,LLANARTH,CEREDIGION,SA47 0NL,52.1931563,-4.311671,242090.53,257508.85
1059,49070879,245689,255232,MYDROILYN VILLAGE HALL,BRO MYDYR,MYDROILYN,CEREDIGION,SA48 7QY,52.1737243,-4.2580239,245689.6,255232.32
1060,49070869,250037,258805,CILIAU AERON VILLAGE HALL,B4339 FROM THE JUNCTION OF THE A482 TO THE JUNCTION OF THE U5183,CILIAU AERON,CEREDIGION,SA48 7SD,52.2070202,-4.1960668,250037.95,258805.01
1061,49076502,252083,260125,VILLAGE HALL,C1047 FROM TYGLYN LODGE TO THE JUNCTION OF THE C1128,CILCENNIN,CEREDIGION,SA48 8RF,52.2194333,-4.1667281,252083.71,260125.14
1062,49076503,252876,255955,MEMORIAL HALL,A482 FELINFACH,FELINFACH,CEREDIGION,SA48 8AE,52.1821843,-4.1533209,252876.41,255955.4
1063,49038843,251996,251918,CRIBYN PRIMARY SCHOOL,B4337 CRIBYN,CRIBYN,CEREDIGION,SA48 7NG,52.1456804,-4.1644238,251996.26,251918.44
1064,49054606,248499,256010,DIHEWYD VILLAGE HALL,C1107 FROM DIHEWYD TO THE JUNCTION OF THE U5179,DIHEWYD,CEREDIGION,SA48 7PN,52.1814896,-4.2173207,248499,256010
1065,49069864,261091,253287,MEMORIAL HALL,A485 LLANGYBI VILLAGE,LLANGYBI,CEREDIGION,SA48 8NG,52.1603402,-4.0321612,261091,253287
1066,49069864,261091,253287,MEMORIAL HALL,A485 LLANGYBI VILLAGE,LLANGYBI,CEREDIGION,SA48 8NG,52.1603402,-4.0321612,261091,253287
1067,49074326,266305,255246,LLANDEWI BREFI VILLAGE HALL,U1518 FROM LLANDDEWI BREFI TO THE ENTRANCE OF THE ESGAIR GOCH FORESTRY,LLANDDEWI BREFI,CEREDIGION,SY25 6RX,52.1792342,-3.9567497,266305.53,255246.41
1068,49076505,262463,251241,VILLAGE HALL,B4343 LLANFAIR CLYDOGAU,LLANFAIR CLYDOGAU,CEREDIGION,SA48 8LD,52.1423027,-4.0112765,262463.81,251241.22
1069,49076505,262463,251241,VILLAGE HALL,B4343 LLANFAIR CLYDOGAU,LLANFAIR CLYDOGAU,CEREDIGION,SA48 8LD,52.1423027,-4.0112765,262463.81,251241.22
1070,49017702,257835,248341,VICTORIA HALL,BRYN ROAD,LAMPETER,CEREDIGION,SA48 7EE,52.1150726,-4.0776591,257835,248341
1072,49017702,257835,248341,VICTORIA HALL,BRYN ROAD,LAMPETER,CEREDIGION,SA48 7EE,52.1150726,-4.0776591,257835,248341
1073,49076506,253304,247257,CHURCH HALL,B4337 LLANWNEN,LLANWNNEN,CEREDIGION,SA48 7LA,52.1041522,-4.1433046,253304.75,247257.27
1074,49038205,248321,247553,CWRTNEWYDD PRIMARY SCHOOL,C1033 FROM THE JUNCTION OF THE A475 AT ALLTYBIG TO CWRTNEWYDD,CWRTNEWYDD,CEREDIGION,SA40 9YN,52.1054643,-4.216146,248321,247553
1075,49073843,241450,251382,CAPEL YR ANNIBYNWYR PISGAH,C1187 FROM TALGARREG TO THE JUNCTION OF THE A486 AT POST BACH,TALGARREG,CEREDIGION,SA44 4ET,52.1379352,-4.3181627,241450.55,251382.12
1076,49072966,237443,255953,NEUADD GOFFA CAERWEDROS,C1048 FROM THE JUNCTION OF THE U5131 TO THE CROSSROADS OF THE C1006,CAERWEDROS,CEREDIGION,SA44 6BS,52.1778365,-4.378849,237443.56,255953.75
1077,49009793,241788,240649,TYSUL YOUTH CENTRE,LON WESLEY,LLANDYSUL,CEREDIGION,SA44 4QJ,52.0416199,-4.3082436,241788.72,240649.81
1078,49074196,245148,242486,CAPEL DEWI CHURCH HALL,C1150 FROM THE JUNCTION OF LLANFAIR ROAD TO CAPEL DEWI,CAPEL DEWI,CEREDIGION,SA44 4PH,52.0590697,-4.2601292,245148.51,242486.57
1079,49070878,243924,246174,MEMORIAL HALL,FROM THE JUNCTION OF THE B4459 TO A PROPERTY KNOWN AS HEOL-FEINOG (PRIVATE),PONTSHAEN,CEREDIGION,SA44 4UB,52.0918617,-4.279651,243924.84,246174.99
1080,49050517,240698,244877,TREGROES SCHOOL,C1069 FROM THE PRIVATE ROAD LEADING TO DINAS CERDIN TO THE JUNCTION OF THE A475,TREGROES,CEREDIGION,SA44 4NN,52.0792818,-4.3261053,240698,244877
1081,49072235,230876,240902,THE LONG ROOM,U5223 FROM THE JUNCTION OF THE A475 AT THE LAMB HOTEL TO THE ENTRANCE TO SUSSEX BUILDINGS,ADPAR,CEREDIGION,SA38 9EA,52.0406718,-4.4673233,230876.5,240902.97
1082,49070861,236590,241849,PENRHIWLLAN HALL,A475 PENRHIWLLAN,PENRHIWLLAN,CEREDIGION,SA44 5NN,52.0508855,-4.3845407,236590.56,241849.16
1083,49070860,234728,247535,RHYDLEWIS VILLAGE HALL,C1132 FROM THE JUNCTION OF THE B4334 TO THE PRIVATE ROAD LEADING TO BRYNBEDW,RHYDLEWIS,CEREDIGION,SA44 5PE,52.1014157,-4.4144191,234728.97,247535.89
1084,49067177,235450,244914,COEDYBRYN VILLAGE HALL,B4334 COED-Y-BRYN,COED Y BRYN,CEREDIGION,SA44 5JL,52.0780878,-4.4026237,235450.88,244914.97
1085,49070852,233723,254274,MEMORIAL HALL,B4321 PONTGARREG,PONTGARREG,CEREDIGION,SA44 6AL,52.1616397,-4.4323829,233723.31,254274.05
1086,49069861,231371,250950,PENBRYN AND SARNAU VILLAGE HALL,A487T SARNAU VILLAGE,SARNAU,CEREDIGION,SA44 6QS,52.1310706,-4.4650856,231371.25,250950.22
1087,49076508,224192,243745,"CHURCH HALL, ST TYGWYDD CHURCH",U5244 FROM THE A484 JUNCTION NW OF LLWYNDURIS FARM TO THE UX19 JUNCTION N OF BAILEY,LLANDYGWYDD,CEREDIGION,SA43 2QX,52.0641215,-4.5661314,224192.99,243745.32
1088,49076509,228804,246106,"VESTRI, BEULAH CHAPEL",C1162 FROM THE JUNCTION OF BOWLS ROAD TO THE JUNCTION OF THE B4333,BEULAH,CEREDIGION,SA38 9QB,52.0867769,-4.5001104,228804.65,246106.74
1089,49047954,229068,242077,TREWEN PRIMARY SCHOOL,B4570 FROM THE JUNCTION OF THE U5236 TO THE JUNCTION OF THE B4333 AT CWMCOU,CWM COU,CEREDIGION,SA38 9PE,52.0506641,-4.4942448,229068.56,242077.17
1090,49076510,230137,247746,ST.JOHN'S CHURCH & COMMUNITY HALL,C1063 FROM THE ENTRANCE TO COEDPERTHI TO THE JUNCTION OF THE C1042,BEULAH,CEREDIGION,SA38 9QL,52.1019161,-4.4814962,230137.32,247746.49
1091,49070608,221591,243973,COMMUNITY HALL,A484 LLECHRYD,LLECHRYD,CEREDIGION,SA43 2NR,52.065338,-4.6041534,221591.89,243973.37
1092,49070867,226088,251264,VILLAGE HALL,FFORDD NEWYDD,ABERPORTH,CEREDIGION,SA43 2EN,52.1322597,-4.5423441,226088.71,251264.92
1093,49070632,218323,249547,"PWYLLGOR A LLES Y FERWIG, OLD PRIMARY SCHOOL",C1003 FROM THE ENTRANCE OF CLYN YR YNYS TO THE JUNCTION OF THE C1120,VERWIG,CEREDIGION,SA43 1PX,52.1143372,-4.6547512,218323.53,249547.52
1094,49073621,221194,247885,PENPARC CHAPEL,A487T PENPARC VILLAGE,PENPARC,CEREDIGION,SA43 1RG,52.1003444,-4.611994,221194.58,247885.31
1095,49073624,217905,246186,BETHANIA CHAPEL,WILLIAM STREET,CARDIGAN,CEREDIGION,SA43 1EL,52.0840143,-4.6590484,217905.76,246186.47
1096,49073624,217905,246186,BETHANIA CHAPEL,WILLIAM STREET,CARDIGAN,CEREDIGION,SA43 1EL,52.0840143,-4.6590484,217905.76,246186.47
1097,49073624,217905,246186,BETHANIA CHAPEL,WILLIAM STREET,CARDIGAN,CEREDIGION,SA43 1EL,52.0840143,-4.6590484,217905.76,246186.47
1049,49073868,253788,255144,TYNGWNDWN CHAPEL,B4342B FROM THE JUNCTION OF THE B4337 AT HENDRELAS TO THE JUNCTION OF THE A482 AT FELINFACH,FELINFACH,CEREDIGION,SA48 8BE,52.1751385,-4.1396333,253788.99,255144.14
